subject,classes,methods,junit_tests,method_coverage_percent,atr_percent,sv_percent,application_fields,test_fields,application_method_fragments,test_method_fragments
cli,58,664,437,94.14,96.6,100,104,57,273,2180
codec,156,1780,992,91.03,96.01,100,425,140,680,2849
csv,41,694,309,90.64,92.34,100,146,35,235,1272
exec,56,407,70,54.84,78.9,100,104,27,248,327
fast-pfor,82,971,82,54.55,87.4,100,127,14,748,302
fileupload,49,381,39,13.02,98.31,100,121,39,192,194
graph,118,879,146,58.78,97.13,100,216,29,541,975
jansi,48,474,107,23.47,84.83,100,378,0,409,123
pool,98,1097,73,22.29,91.6,100,203,91,682,649
validator,130,1228,464,63.31,95.51,100,421,209,646,1463
Total,836,8575,2719,56.57,91.99,100,2245,641,4654,10334
