subject,amf,syntax_percent,source_non_exercised_percent,graal_success_percent,graal_fail_percent,graal_error_percent,target_non_exercised_percent,all_tests_pass_percent,tpr_percent
cli,273,100,5.86,70.7,11.72,11.72,35.9,8.42,10.08
codec,680,98.53,8.97,38.38,32.5,20.15,65.59,4.12,9.43
csv,235,98.72,9.36,38.72,26.81,25.11,74.47,0,0
exec,248,100,45.16,33.47,2.02,19.35,34.27,4.44,19.29
fast-pfor,748,95.32,45.45,12.03,24.2,18.32,41.71,4.28,20.08
fileupload,192,100,86.98,8.85,1.04,3.13,1.56,3.65,63.44
graph,541,99.63,41.22,24.77,22.92,11.09,57.12,0,11.04
jansi,409,99.76,76.53,8.07,11.49,3.91,22.25,0.24,1.07
pool,682,100,77.71,6.01,1.32,14.96,19.35,1.61,6.62
validator,646,99.23,36.69,30.5,11.15,21.67,46.44,3.25,11.7
Total,4654,98.8,43.43,24.5,16.23,15.84,41.92,2.88,9.76
