project_id,passing_repetitions,build_repetitions
crust__2dpartint,2,3
crust__42-kocaeli-printf,3,3
crust__aes128-simd,3,3
crust__amp,3,3
crust__approxidate,2,3
crust__avalanche,3,3
crust__bhshell,2,3
crust__bigint,0,3
crust__bitset,0,3
crust__blt,0,3
crust__bostree,0,3
crust__btree-map,3,3
crust__c-aces,3,3
crust__c-blind-rsa-signatures,3,3
crust__c-string,3,3
crust__carrays,3,3
crust__cfsm,0,3
crust__chtrie,3,3
crust__circularbuffer,3,3
crust__cissy,1,3
crust__cjson,3,3
crust__clhash,0,3
crust__clog,0,3
crust__coroutine,3,3
crust__cset,3,3
crust__csyncmers,3,3
crust__dict,3,3
crust__emlang,0,3
crust__expr,3,3
crust__fasthamming,3,3
crust__fft,3,3
crust__file2str,3,3
crust__fleur,0,3
crust__fs_c,2,3
crust__fslib,0,3
crust__genetic-neural-network-for-simple-control,0,3
crust__geofence,3,3
crust__gfc,0,3
crust__gorilla-paper-encode,3,3
crust__graph-recogniser,2,3
crust__hamta,0,3
crust__holdem-odds,0,3
crust__hydra,0,3
crust__impcheck,0,3
crust__inversion_list,0,3
crust__jccc,3,3
crust__kairocompiler,0,3
crust__kd3,1,3
crust__lambda-calculus-eval,2,3
crust__leftpad,3,3
crust__lib2bit,0,3
crust__libbase122,0,3
crust__libbeaufort,3,3
crust__libfor,0,3
crust__libm17,0,3
crust__libpgn,0,3
crust__libpsbt,1,3
crust__libqueue,2,3
crust__libtinyfseq,3,3
crust__libutf,0,3
crust__libvcd,0,3
crust__libwecan,0,3
crust__linear-algebra-c,0,3
crust__ljmm,0,3
crust__ltre,2,3
crust__math-library-in-c,3,3
crust__matrix_multiplication,3,3
crust__mdb,3,3
crust__megalania,2,3
crust__merkle-tree-c,3,3
crust__morton,0,3
crust__murmurhash_c,3,3
crust__mvptree,2,3
crust__nandc,3,3
crust__phills_dht,3,3
crust__quadtree,2,3
crust__razz_simulation,0,3
crust__rbtree-lab,3,3
crust__recordmanager,3,3
crust__rect_pack_h,3,3
crust__remimu,3,3
crust__rhbloom,0,3
crust__roaring-bitmap,0,3
crust__rubiksolver,3,3
crust__satc,2,3
crust__simple-config,3,3
crust__simple-sparsehash,2,3
crust__simple_lang,3,3
crust__simplexml,3,3
crust__skp,0,3
crust__slothlang,0,3
crust__ted,1,3
crust__tisp,0,3
crust__totp,3,3
crust__ulidgen,0,3
crust__utf8,0,3
crust__vaultsync,0,3
crust__vec,3,3
crust__worsp,3,3
crust__xopt,3,3
