app_id,artifact_commit,build,build_returncode,campaign,candidate_runtime_isolated,candidate_status,contract_integrity,delegation_tokens,elapsed_seconds,ended_at,evaluation_status,expected_tests,pass_all,pipeline_error,repetition,run_status,rust_source_files,safe_pass_all,safe_rust,self_contained,started_at,subject,subject_id,test_returncode,tests_failed,tests_loaded,tests_not_executed,tests_passed,total_assistant_turns,total_input_tokens,total_nano_aiu,total_output_tokens,total_premium_requests,total_tool_invocations,unsafe_tokens,validation_tree_sha256
full-actor-li__csplit-rep0,7427da3d3dfb3c0985aafe86df87f815fa3f08d1,True,0,actor-li-absolute-micro,True,evaluated,True,0,5001.608578,2026-08-20T23:23:14.352719Z,measured,70,True,timed out after 5000.0s,0,timeout,3,True,True,True,2026-08-20T21:59:52.744141Z,csplit,actor-li__csplit,0,0,70,0,70,489,,1650582737500,,17,584,0,aaef144f371b9d302086af6c8bccd38a65ea73e3d971301840569c7e4f4f3dc7
full-actor-li__csplit-rep1,7427da3d3dfb3c0985aafe86df87f815fa3f08d1,True,0,actor-li-absolute-micro,True,evaluated,True,0,5001.603601,2026-08-20T23:23:14.350320Z,measured,70,True,timed out after 5000.0s,1,timeout,5,True,True,True,2026-08-20T21:59:52.746719Z,csplit,actor-li__csplit,0,0,70,0,70,485,,1656817850000,,17,568,0,aaef144f371b9d302086af6c8bccd38a65ea73e3d971301840569c7e4f4f3dc7
full-actor-li__csplit-rep2,7427da3d3dfb3c0985aafe86df87f815fa3f08d1,True,0,actor-li-absolute-micro,True,evaluated,True,0,5001.624034,2026-08-20T23:23:14.369194Z,measured,70,False,timed out after 5000.0s,2,timeout,9,False,True,True,2026-08-20T21:59:52.745160Z,csplit,actor-li__csplit,1,1,70,0,69,443,,1602258562500,,15,596,0,aaef144f371b9d302086af6c8bccd38a65ea73e3d971301840569c7e4f4f3dc7
full-actor-li__expr-rep0,7427da3d3dfb3c0985aafe86df87f815fa3f08d1,True,0,actor-li-absolute-micro,True,evaluated,True,0,5001.560866,2026-08-20T23:23:14.307186Z,measured,100,True,timed out after 5000.0s,0,timeout,4,True,True,True,2026-08-20T21:59:52.746320Z,expr,actor-li__expr,0,0,100,0,100,545,,1821271212500,,23,740,0,1a904742d3255948dec9490d5568c9112dce0e1caa20099e5a67f091541aa9b6
full-actor-li__expr-rep1,7427da3d3dfb3c0985aafe86df87f815fa3f08d1,True,0,actor-li-absolute-micro,True,evaluated,True,0,5001.574015,2026-08-20T23:23:14.319627Z,measured,100,True,timed out after 5000.0s,1,timeout,3,True,True,True,2026-08-20T21:59:52.745612Z,expr,actor-li__expr,0,0,100,0,100,472,,1466353262500,,25,635,0,1a904742d3255948dec9490d5568c9112dce0e1caa20099e5a67f091541aa9b6
full-actor-li__expr-rep2,7427da3d3dfb3c0985aafe86df87f815fa3f08d1,True,0,actor-li-absolute-micro,True,evaluated,True,0,2713.124451,2026-08-20T22:45:05.873103Z,measured,100,False,"[codeweaver] project=actor-li__expr app_id=full-actor-li__expr-rep2 mock=False db=/opt/codeweaver-related-papers/campaign/actor-li/runs/full/actor-li__expr/rep2/pipeline/burr.db
[codeweaver] loaded state at startup: milestone_idx=0 history_len=0  (idx>0 => resumed, not restarted)
[codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=0
    M0  iter=1  passed=False
    M0  iter=2  passed=False
    M0  iter=3  passed=False
    M0  iter=4  passed=False
    M0  iter=5  passed=False",2,failed,3,False,True,True,2026-08-20T21:59:52.748652Z,expr,actor-li__expr,1,100,100,0,0,255,,943680125000,,13,360,0,1a904742d3255948dec9490d5568c9112dce0e1caa20099e5a67f091541aa9b6
full-actor-li__fmt-rep0,7427da3d3dfb3c0985aafe86df87f815fa3f08d1,True,0,actor-li-absolute-micro,True,evaluated,True,0,5001.050012,2026-08-21T00:08:26.926961Z,measured,66,True,timed out after 5000.0s,0,timeout,4,True,True,True,2026-08-20T22:45:05.876949Z,fmt,actor-li__fmt,0,0,66,0,66,517,,1023192612500,,23,672,0,d223f262716adec2c79f83ca4b630dd43ceb7214b04511a29cf918ef3eec7a22
full-actor-li__fmt-rep1,7427da3d3dfb3c0985aafe86df87f815fa3f08d1,True,0,actor-li-absolute-micro,True,evaluated,True,0,5001.163274,2026-08-21T00:46:35.473802Z,measured,66,True,timed out after 5000.0s,1,timeout,1,True,True,True,2026-08-20T23:23:14.310528Z,fmt,actor-li__fmt,0,0,66,0,66,469,,1018799862500,,17,478,0,d223f262716adec2c79f83ca4b630dd43ceb7214b04511a29cf918ef3eec7a22
full-actor-li__fmt-rep2,7427da3d3dfb3c0985aafe86df87f815fa3f08d1,True,0,actor-li-absolute-micro,True,evaluated,True,0,3042.32925,2026-08-21T00:13:56.652358Z,measured,66,True,"[codeweaver] project=actor-li__fmt app_id=full-actor-li__fmt-rep2 mock=False db=/opt/codeweaver-related-papers/campaign/actor-li/runs/full/actor-li__fmt/rep2/pipeline/burr.db
[codeweaver] loaded state at startup: milestone_idx=0 history_len=0  (idx>0 => resumed, not restarted)
[codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=0
    M0  iter=1  passed=False
    M0  iter=2  passed=False
    M0  iter=3  passed=False
    M0  iter=4  passed=False
    M0  iter=5  passed=False",2,failed,1,True,True,True,2026-08-20T23:23:14.323108Z,fmt,actor-li__fmt,0,0,66,0,66,248,,500238550000,,13,309,0,d223f262716adec2c79f83ca4b630dd43ceb7214b04511a29cf918ef3eec7a22
full-actor-li__join-rep0,7427da3d3dfb3c0985aafe86df87f815fa3f08d1,True,0,actor-li-absolute-micro,True,evaluated,True,0,5001.246933,2026-08-21T00:46:35.601578Z,measured,84,False,timed out after 5000.0s,0,timeout,1,False,True,True,2026-08-20T23:23:14.354645Z,join,actor-li__join,1,2,84,0,82,458,,1065344350000,,19,524,0,8140b03251f0d82554fcaf36db3703569fc70ff0c6fcba6f3aef8a991140ceb0
full-actor-li__join-rep1,7427da3d3dfb3c0985aafe86df87f815fa3f08d1,True,0,actor-li-absolute-micro,True,evaluated,True,0,5001.219585,2026-08-21T00:46:35.575860Z,measured,84,True,timed out after 5000.0s,1,timeout,1,True,True,True,2026-08-20T23:23:14.356275Z,join,actor-li__join,0,0,84,0,84,504,,1012135000000,,23,603,0,8140b03251f0d82554fcaf36db3703569fc70ff0c6fcba6f3aef8a991140ceb0
full-actor-li__join-rep2,7427da3d3dfb3c0985aafe86df87f815fa3f08d1,True,0,actor-li-absolute-micro,True,evaluated,True,0,5001.289528,2026-08-21T00:46:35.662071Z,measured,84,True,timed out after 5000.0s,2,timeout,2,True,True,True,2026-08-20T23:23:14.372543Z,join,actor-li__join,0,0,84,0,84,461,,1027663400000,,17,526,0,8140b03251f0d82554fcaf36db3703569fc70ff0c6fcba6f3aef8a991140ceb0
full-actor-li__printf-rep0,7427da3d3dfb3c0985aafe86df87f815fa3f08d1,True,0,actor-li-absolute-micro,True,evaluated,True,0,5001.07263,2026-08-21T01:31:48.003430Z,measured,83,True,timed out after 5000.0s,0,timeout,4,True,True,True,2026-08-21T00:08:26.930800Z,printf,actor-li__printf,0,0,83,0,83,483,,1036082587500,,21,657,0,6bbc968bd598b387724d69c660469906d82711a781b66343cdab393c261c782b
full-actor-li__printf-rep1,7427da3d3dfb3c0985aafe86df87f815fa3f08d1,True,0,actor-li-absolute-micro,True,evaluated,True,0,5001.020553,2026-08-21T01:37:17.676137Z,measured,83,False,timed out after 5000.0s,1,timeout,6,False,True,True,2026-08-21T00:13:56.655584Z,printf,actor-li__printf,1,11,83,0,72,484,,971982500000,,21,625,0,6bbc968bd598b387724d69c660469906d82711a781b66343cdab393c261c782b
full-actor-li__printf-rep2,7427da3d3dfb3c0985aafe86df87f815fa3f08d1,True,0,actor-li-absolute-micro,True,evaluated,True,0,5001.1854,2026-08-21T02:09:56.662717Z,measured,83,True,timed out after 5000.0s,2,timeout,2,True,True,True,2026-08-21T00:46:35.477317Z,printf,actor-li__printf,0,0,83,0,83,277,,601547550000,,13,384,0,6bbc968bd598b387724d69c660469906d82711a781b66343cdab393c261c782b
full-actor-li__test-rep0,7427da3d3dfb3c0985aafe86df87f815fa3f08d1,True,0,actor-li-absolute-micro,True,evaluated,True,0,4327.936589,2026-08-21T01:58:43.515406Z,measured,89,True,,0,completed,1,True,True,True,2026-08-21T00:46:35.578817Z,test,actor-li__test,0,0,89,0,89,347,,708613462500,,18,443,0,5a5a7b5e6e390654a71eb2624fb5d664f5a109125dfe2769fb58f3a26c9bd77f
full-actor-li__test-rep1,7427da3d3dfb3c0985aafe86df87f815fa3f08d1,True,0,actor-li-absolute-micro,True,evaluated,True,0,3541.74578,2026-08-21T01:45:37.349809Z,measured,89,True,,1,completed,1,True,True,True,2026-08-21T00:46:35.604029Z,test,actor-li__test,0,0,89,0,89,351,,821956725000,,18,462,0,5a5a7b5e6e390654a71eb2624fb5d664f5a109125dfe2769fb58f3a26c9bd77f
full-actor-li__test-rep2,7427da3d3dfb3c0985aafe86df87f815fa3f08d1,True,0,actor-li-absolute-micro,True,evaluated,True,0,4230.144625,2026-08-21T01:57:05.809857Z,measured,89,True,,2,completed,1,True,True,True,2026-08-21T00:46:35.665232Z,test,actor-li__test,0,0,89,0,89,418,,836770900000,,24,584,0,5a5a7b5e6e390654a71eb2624fb5d664f5a109125dfe2769fb58f3a26c9bd77f
