project_id,project,public_actor_result_directory,paper_87_membership,codeweaver_build_repetitions,codeweaver_pass_all_repetitions,codeweaver_fixed_tests_passed,codeweaver_fixed_tests_expected
crust__2dpartint,2dpartint,True,unresolved,3,2,18,18
crust__42-kocaeli-printf,42-kocaeli-printf,True,unresolved,3,3,6,6
crust__aes128-simd,aes128-simd,True,unresolved,3,3,12,12
crust__amp,amp,True,unresolved,3,3,3,3
crust__approxidate,approxidate,True,unresolved,3,2,4,6
crust__avalanche,avalanche,True,unresolved,3,3,3,3
crust__bhshell,bhshell,True,unresolved,3,2,4,6
crust__bigint,bigint,True,unresolved,3,0,2,24
crust__blt,blt,True,unresolved,3,0,0,3
crust__bostree,bostree,True,unresolved,3,0,0,9
crust__btree-map,btree-map,True,unresolved,3,3,18,18
crust__c-aces,c-aces,True,unresolved,3,3,39,39
crust__c-blind-rsa-signatures,c-blind-rsa-signatures,True,unresolved,3,3,9,9
crust__c-string,c-string,True,unresolved,3,3,45,45
crust__carrays,carrays,True,unresolved,3,3,6,6
crust__cfsm,cfsm,True,unresolved,3,0,0,3
crust__chtrie,chtrie,True,unresolved,3,3,3,3
crust__circularbuffer,circularbuffer,True,unresolved,3,3,3,3
crust__cissy,cissy,True,unresolved,3,1,7,9
crust__cjson,cjson,True,unresolved,3,3,3,3
crust__clhash,clhash,True,unresolved,3,0,0,15
crust__coroutine,coroutine,True,unresolved,3,3,3,3
crust__cset,cset,True,unresolved,3,3,45,45
crust__csyncmers,csyncmers,True,unresolved,3,3,3,3
crust__dict,dict,True,unresolved,3,3,18,18
crust__emlang,emlang,True,unresolved,3,0,0,3
crust__expr,expr,True,unresolved,3,3,6,6
crust__fasthamming,fasthamming,True,unresolved,3,3,21,21
crust__fft,fft,True,unresolved,3,3,3,3
crust__file2str,file2str,True,unresolved,3,3,3,3
crust__fleur,fleur,True,unresolved,3,0,1,21
crust__fs_c,fs_c,True,unresolved,3,2,34,51
crust__fslib,fslib,True,unresolved,3,0,38,162
crust__geofence,geofence,True,unresolved,3,3,3,3
crust__gfc,gfc,True,unresolved,3,0,0,3
crust__gorilla-paper-encode,gorilla-paper-encode,True,unresolved,3,3,3,3
crust__graph-recogniser,graph-recogniser,True,unresolved,3,2,4,6
crust__hamta,hamta,True,unresolved,3,0,15,18
crust__hydra,hydra,True,unresolved,3,0,0,6
crust__impcheck,impcheck,True,unresolved,3,0,0,18
crust__inversion_list,inversion_list,True,unresolved,3,0,20,45
crust__jccc,jccc,True,unresolved,3,3,12,12
crust__kairocompiler,kairocompiler,True,unresolved,3,0,0,6
crust__kd3,kd3,True,unresolved,3,1,1,3
crust__lambda-calculus-eval,lambda-calculus-eval,True,unresolved,3,2,65,66
crust__leftpad,leftpad,True,unresolved,3,3,3,3
crust__lib2bit,lib2bit,True,unresolved,3,0,0,3
crust__libbase122,libbase122,True,unresolved,3,0,15,18
