project,project_id,abbrev,loc,c2rust_translate,c2rust_build,c2rust_test,crust_build,crust_test,orbit_ext_build,orbit_ext_test,orbit_gen_build,orbit_gen_test,codeweaver_build_repetitions,codeweaver_pass_all_repetitions,codeweaver_tests_passed,codeweaver_tests_expected,codeweaver_rep1_build,codeweaver_rep2_build,codeweaver_rep3_build,codeweaver_rep1_pass_all,codeweaver_rep2_pass_all,codeweaver_rep3_pass_all
CircularBuffer,crust__circularbuffer,CB,213,True,True,True,True,True,True,True,True,True,3,3,3,3,True,True,True,True,True,True
Simple-Config,crust__simple-config,S-Conf,719,False,,,True,False,True,True,True,True,3,3,21,21,True,True,True,True,True,True
VaultSync,crust__vaultsync,VaultSync,1121,True,False,,False,,True,True,True,True,3,0,0,3,True,True,True,False,False,False
mvptree,crust__mvptree,mvptree,1121,True,False,,True,True,True,True,True,True,3,2,2,3,True,True,True,True,False,True
razz_simulation,crust__razz_simulation,RazzSim,1145,True,True,False,True,False,True,True,True,True,3,0,0,3,True,True,True,False,False,False
Remimu,crust__remimu,Remimu,1162,True,True,True,False,,True,True,True,True,3,3,3,3,True,True,True,True,True,True
libpgn,crust__libpgn,libpgn,1162,True,True,False,True,False,True,False,True,True,3,0,50,60,True,True,True,False,False,False
LTRE,crust__ltre,LTRE,1212,True,False,,True,True,True,True,True,False,3,2,2,3,True,True,True,True,False,True
lambda-calculus-eval,crust__lambda-calculus-eval,LC-Eval,1264,True,True,True,True,True,True,True,True,True,3,2,65,66,True,True,True,False,True,True
jccc,crust__jccc,jccc,1310,True,True,False,False,,True,True,True,True,3,3,12,12,True,True,True,True,True,True
libpsbt,crust__libpsbt,libpsbt,1331,True,True,False,False,,True,True,True,True,3,1,10,12,True,True,True,False,True,False
mdb,crust__mdb,mdb,1340,True,False,,True,True,True,True,True,True,3,3,12,12,True,True,True,True,True,True
Genetic-neural-network-for-simple-control,crust__genetic-neural-network-for-simple-control,GNNSC,1367,True,False,,False,,True,True,True,True,3,0,0,69,True,True,True,False,False,False
impcheck,crust__impcheck,impcheck,1397,False,,,False,,True,False,True,True,3,0,0,18,True,True,True,False,False,False
cfsm,crust__cfsm,cfsm,1446,True,True,True,True,False,True,True,True,True,3,0,0,3,True,True,True,False,False,False
worsp,crust__worsp,worsp,1494,True,True,False,False,,True,True,True,True,3,3,12,12,True,True,True,True,True,True
libutf,crust__libutf,libutf,1525,True,True,False,False,,True,True,True,True,3,0,0,33,True,True,True,False,False,False
kairoCompiler,crust__kairocompiler,KComp,1589,True,True,False,False,,True,True,True,True,3,0,0,6,True,True,True,False,False,False
fslib,crust__fslib,fslib,1958,True,True,False,False,,True,True,True,True,3,0,38,162,True,True,True,False,False,False
XOpt,crust__xopt,XOpt,2113,True,False,,True,True,True,True,True,True,3,3,6,6,True,True,True,True,True,True
recordManager,crust__recordmanager,RecMgr,2400,False,,,False,,True,True,True,True,3,3,9,9,True,True,True,True,True,True
libm17,crust__libm17,libm17,2901,True,True,False,True,False,True,True,True,True,3,0,12,21,True,True,True,False,False,False
tisp,crust__tisp,tisp,3562,True,True,False,False,,True,True,True,False,3,0,0,3,True,True,True,False,False,False
Megalania,crust__megalania,Megalania,3621,True,True,True,False,,True,True,True,True,3,2,14,21,True,True,True,True,True,False
