surface,scope,system,metric,value
Table 3,Crown-16 total,Crown,lint alerts,6802
Table 3,Crown-16 total,PR2,lint alerts,4135
Table 3,Crown-16 total,PtrTrans,lint alerts,349
Table 3,Crown-16 total,Crown,unsafe usages,141866
Table 3,Crown-16 total,PR2,unsafe usages,134185
Table 3,Crown-16 total,PtrTrans,unsafe usages,85
Table 4,small projects,FLOURINE,compiled/equivalent percent,69.9/52.3
Table 4,small projects,PtrTrans,compiled/equivalent percent,98.3/81.6
Table 4,large projects,FLOURINE,compiled/equivalent percent,64.0/14.2
Table 4,large projects,PtrTrans,compiled/equivalent percent,85.9/67.9
Table 5,small-10 average,PtrTrans_PS,compiled/equivalent percent,89.3/59.5
Table 5,small-10 average,PtrTrans_PU,compiled/equivalent percent,84.6/52.9
Table 5,small-10 average,PtrTrans_RA,compiled/equivalent percent,87.9/61.9
Table 5,small-10 average,PtrTrans_EC,compiled/equivalent percent,66.0/50.8
Table 5,small-10 average,PtrTrans,compiled/equivalent percent,100/81.6
