subject_id,subject,modules,module_count,test_count,repetition,pipeline_status,tests_expected,tests_executed,tests_passed,tests_failed,tests_not_executed,terminal_run,terminal_run_status,terminal_run_reason,contract_integrity,contract_integrity_status,contract_integrity_reason,compilation,compilation_status,compilation_reason,fixed_contract_tests,fixed_contract_tests_status,fixed_contract_tests_reason,elapsed_seconds,elapsed_seconds_status,elapsed_seconds_reason,input_tokens,input_tokens_status,input_tokens_reason,output_tokens,output_tokens_status,output_tokens_reason,nano_aiu,nano_aiu_status,nano_aiu_reason,premium_requests,premium_requests_status,premium_requests_reason,safe_rate_status,safe_rate_reason,total_lines,unsafe_lines,safe_lines,safe_rate_percent,unsafe_functions,unsafe_blocks
1,arraylist,arraylist,1,9,0,completed,9,9,9,0,0,True,measured,,True,measured,,True,measured,,True,measured,,3706.29957,measured,,,unavailable,Copilot logs do not expose input_tokens,207671,measured,,1713857575000,measured,,0,measured,,measured,,1305,995,310,23.754789272030653,41,22
2,avl-tree,avl-tree,1,8,0,completed,8,8,8,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2489.953189,measured,,,unavailable,Copilot logs do not expose input_tokens,180809,measured,,1645685400000,measured,,2,measured,,measured,,1612,1237,375,23.263027295285358,59,39
3,binary-heap,binary-heap,1,5,0,completed,5,5,5,0,0,True,measured,,True,measured,,True,measured,,True,measured,,3428.094126,measured,,,unavailable,Copilot logs do not expose input_tokens,174741,measured,,1407889300000,measured,,0,measured,,measured,,1088,260,828,76.1029411764706,17,91
4,binomial-heap,binomial-heap,1,6,0,completed,6,6,6,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2681.1515,measured,,,unavailable,Copilot logs do not expose input_tokens,153456,measured,,1268972400000,measured,,0,measured,,measured,,975,736,239,24.512820512820515,34,13
5,bloom-filter,bloom-filter,1,6,0,completed,6,6,6,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2674.716019,measured,,,unavailable,Copilot logs do not expose input_tokens,160698,measured,,1389717250000,measured,,0,measured,,measured,,1009,531,478,47.37363726461843,34,14
6,compare-functions,"compare-int,compare-pointer,compare-string",3,8,0,completed,8,8,8,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2332.914777,measured,,,unavailable,Copilot logs do not expose input_tokens,124181,measured,,1029565500000,measured,,0,measured,,measured,,469,176,293,62.47334754797441,14,18
7,hash-functions,"hash-int,hash-pointer,hash-string",3,4,0,completed,4,4,4,0,0,True,measured,,True,measured,,True,measured,,True,measured,,1829.484913,measured,,,unavailable,Copilot logs do not expose input_tokens,101677,measured,,881668750000,measured,,0,measured,,measured,,241,40,201,83.40248962655602,6,15
8,hash-table,hash-table,1,8,0,completed,8,8,8,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2454.94192,measured,,,unavailable,Copilot logs do not expose input_tokens,178007,measured,,1565104900000,measured,,1,measured,,measured,,1850,1490,360,19.45945945945946,59,19
9,list,list,1,14,0,completed,14,14,14,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2471.467879,measured,,,unavailable,Copilot logs do not expose input_tokens,174655,measured,,1543451575000,measured,,1,measured,,measured,,1370,1073,297,21.67883211678832,45,26
10,queue,queue,1,8,0,completed,8,8,8,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2151.706674,measured,,,unavailable,Copilot logs do not expose input_tokens,147377,measured,,1235352475000,measured,,0,measured,,measured,,972,359,613,63.065843621399175,23,164
