subject_id,subject,repetition,status,attempt,returncode,num_calls,started_at,ended_at,elapsed_seconds,tests_passed,tests_expected,compilation,safe_rate_percent,output_tokens,execution_git_sha,copilot_cli_version,state_sha256
1,arraylist,0,completed,1,0,1,2026-08-12T19:35:41.561891Z,2026-08-12T20:37:27.861461Z,3706.29957,9,9,True,23.754789272030653,207671,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,16e0b9f211ba6807c2bdddaaca8349755c741c2fb60899862238a0fdb45c8912
1,arraylist,1,completed,1,0,1,2026-08-12T20:40:27.375871Z,2026-08-12T21:31:13.875405Z,3046.499534,9,9,True,25.475285171102662,161608,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,a2a7b376e59667d470a9b17cbeab63648d42b34949718400d7fc3b5648c16e63
1,arraylist,2,completed,1,0,1,2026-08-12T20:40:27.375574Z,2026-08-12T21:28:44.097755Z,2896.722181,9,9,True,13.691756272401435,151558,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,4c9ada00d83b4413dc381cbfde9d1f2950a36f7d165f308f12141b0d114029cd
2,avl-tree,0,completed,2,0,1,2026-08-13T02:26:28.362896Z,2026-08-13T03:07:58.316085Z,2489.953189,8,8,True,23.263027295285358,180809,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,e935329e8c7750a7fb9a30c4cfa28932208c95b97e088ca35eec8e3d95c27b5c
2,avl-tree,1,completed,1,0,1,2026-08-12T20:40:27.376984Z,2026-08-12T21:35:17.802850Z,3290.425866,8,8,True,21.488230827638574,182983,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,956ce77e55e4390cef984f5cb59bd4a6fae2f5598db8c3fc5594ff10a8402c88
2,avl-tree,2,completed,2,0,1,2026-08-13T03:07:58.323210Z,2026-08-13T03:43:09.074200Z,2110.75099,8,8,True,19.663351185921957,162105,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,e887c8615e6d3a153b7bb128a5b0481d2d0f1eacbe42af09faa24ba373e9e32c
3,binary-heap,0,completed,1,0,1,2026-08-12T20:40:27.380592Z,2026-08-12T21:37:35.474718Z,3428.094126,5,5,True,76.1029411764706,174741,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,cbdb357d49fe9c7e7c04f4cac93d1ea7fca29898747ccef943478f27de052d16
3,binary-heap,1,completed,1,0,1,2026-08-12T20:40:30.376543Z,2026-08-12T21:33:48.959863Z,3198.58332,5,5,True,24.482758620689655,185281,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,a500772744377e64dd28841ef44f6b2ad8bed3ec7d623b85fb968771ae39510b
3,binary-heap,2,completed,1,0,1,2026-08-12T20:40:30.386654Z,2026-08-12T21:34:12.118190Z,3221.731536,5,5,True,16.41025641025641,175811,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,4d26cf5c20aa8a6a5e7f4e6df70e007d8a89368f849e0a9ee47888628258fb49
4,binomial-heap,0,completed,1,0,1,2026-08-12T21:28:44.103720Z,2026-08-12T22:13:25.255220Z,2681.1515,6,6,True,24.512820512820515,153456,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,cd9721aaebad40e07162141d4db53f6903ef46d04897487afa902ff679d2ffad
