repetition,accepted,accepted_module_count_after_step,diagnostic_tail,modules,output_sha256,returncode,subject,subject_id,timed_out
0,True,1,"Compiling find-msvc-tools v0.1.10
   Compiling shlex v2.0.1
   Compiling cc v1.4.2
   Compiling vivo_subject_01 v0.1.0 (/tmp/evoc2rust-integration-rep0-4mywc57d/project)
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_remove_node':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:34: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                          ~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:52: warning: unused parameter 'node' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                                        ~~~~~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_to_array':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:497:39: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   497 | RBTreeValue *rb_tree_to_array(RBTree *tree)
warning: vivo_subject_01@0.1.0:       |                               ~~~~~~~~^~~~
warning: the feature `label_break_value` has been stable since 1.65.0 and no longer requires an attribute to enable
 --> src/lib.rs:8:12
  |
8 | #![feature(label_break_value)]
  |            ^^^^^^^^^^^^^^^^^
  |
  = note: `#[warn(stable_features)]` on by default

warning: the feature `raw_ref_op` has been stable since 1.82.0 and no longer requires an attribute to enable
 --> src/lib.rs:9:12
  |
9 | #![feature(raw_ref_op)]
  |            ^^^^^^^^^^

warning: `vivo_subject_01` (lib) generated 2 warnings
warning: `vivo_subject_01` (lib test) generated 2 warnings (2 duplicates)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 2.48s",arraylist,67b50686cf16dbeae589b271ab65238e0da79740047491ffb85b88c0c277fa0b,0,arraylist,1,False
0,True,2,"Compiling vivo_subject_01 v0.1.0 (/tmp/evoc2rust-integration-rep0-4mywc57d/project)
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_remove_node':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:34: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                          ~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:52: warning: unused parameter 'node' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                                        ~~~~~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_to_array':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:497:39: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   497 | RBTreeValue *rb_tree_to_array(RBTree *tree)
warning: vivo_subject_01@0.1.0:       |                               ~~~~~~~~^~~~
warning: the feature `label_break_value` has been stable since 1.65.0 and no longer requires an attribute to enable
 --> src/lib.rs:8:12
  |
8 | #![feature(label_break_value)]
  |            ^^^^^^^^^^^^^^^^^
  |
  = note: `#[warn(stable_features)]` on by default

warning: the feature `raw_ref_op` has been stable since 1.82.0 and no longer requires an attribute to enable
 --> src/lib.rs:9:12
  |
9 | #![feature(raw_ref_op)]
  |            ^^^^^^^^^^

warning: `vivo_subject_01` (lib) generated 2 warnings
warning: `vivo_subject_01` (lib test) generated 2 warnings (2 duplicates)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 1.68s",avl-tree,c654b7fd4e67553b9e1bc3a777e1f3fc61e79459493647e2e26a736c7f4d0818,0,avl-tree,2,False
0,True,3,"Compiling vivo_subject_01 v0.1.0 (/tmp/evoc2rust-integration-rep0-4mywc57d/project)
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_remove_node':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:34: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                          ~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:52: warning: unused parameter 'node' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                                        ~~~~~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_to_array':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:497:39: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   497 | RBTreeValue *rb_tree_to_array(RBTree *tree)
warning: vivo_subject_01@0.1.0:       |                               ~~~~~~~~^~~~
warning: the feature `label_break_value` has been stable since 1.65.0 and no longer requires an attribute to enable
 --> src/lib.rs:8:12
  |
8 | #![feature(label_break_value)]
  |            ^^^^^^^^^^^^^^^^^
  |
  = note: `#[warn(stable_features)]` on by default

warning: the feature `raw_ref_op` has been stable since 1.82.0 and no longer requires an attribute to enable
 --> src/lib.rs:9:12
  |
9 | #![feature(raw_ref_op)]
  |            ^^^^^^^^^^

warning: `vivo_subject_01` (lib) generated 2 warnings
warning: `vivo_subject_01` (lib test) generated 2 warnings (2 duplicates)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 1.64s",binary-heap,1f25a17337623c4886ccb9f0745a886656482ee8311f85a5c5bbcba21dd666d0,0,binary-heap,3,False
0,True,4,"Compiling vivo_subject_01 v0.1.0 (/tmp/evoc2rust-integration-rep0-4mywc57d/project)
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_remove_node':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:34: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                          ~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:52: warning: unused parameter 'node' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                                        ~~~~~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_to_array':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:497:39: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   497 | RBTreeValue *rb_tree_to_array(RBTree *tree)
warning: vivo_subject_01@0.1.0:       |                               ~~~~~~~~^~~~
warning: the feature `label_break_value` has been stable since 1.65.0 and no longer requires an attribute to enable
 --> src/lib.rs:8:12
  |
8 | #![feature(label_break_value)]
  |            ^^^^^^^^^^^^^^^^^
  |
  = note: `#[warn(stable_features)]` on by default

warning: the feature `raw_ref_op` has been stable since 1.82.0 and no longer requires an attribute to enable
 --> src/lib.rs:9:12
  |
9 | #![feature(raw_ref_op)]
  |            ^^^^^^^^^^

warning: `vivo_subject_01` (lib) generated 2 warnings
warning: `vivo_subject_01` (lib test) generated 2 warnings (2 duplicates)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 1.77s",binomial-heap,a7692f13a87a256095ce29425f5526b98affc44081931cad910851423ddb6f6d,0,binomial-heap,4,False
0,True,5,"Compiling vivo_subject_01 v0.1.0 (/tmp/evoc2rust-integration-rep0-4mywc57d/project)
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_remove_node':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:34: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                          ~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:52: warning: unused parameter 'node' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                                        ~~~~~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_to_array':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:497:39: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   497 | RBTreeValue *rb_tree_to_array(RBTree *tree)
warning: vivo_subject_01@0.1.0:       |                               ~~~~~~~~^~~~
warning: the feature `label_break_value` has been stable since 1.65.0 and no longer requires an attribute to enable
 --> src/lib.rs:8:12
  |
8 | #![feature(label_break_value)]
  |            ^^^^^^^^^^^^^^^^^
  |
  = note: `#[warn(stable_features)]` on by default

warning: the feature `raw_ref_op` has been stable since 1.82.0 and no longer requires an attribute to enable
 --> src/lib.rs:9:12
  |
9 | #![feature(raw_ref_op)]
  |            ^^^^^^^^^^

warning: `vivo_subject_01` (lib) generated 2 warnings
warning: `vivo_subject_01` (lib test) generated 2 warnings (2 duplicates)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 1.95s",bloom-filter,664889d9141b3172f49657459d1cf7cb1a009fe48e6241b2f541a6649c321d4f,0,bloom-filter,5,False
0,True,8,"Compiling vivo_subject_01 v0.1.0 (/tmp/evoc2rust-integration-rep0-4mywc57d/project)
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_remove_node':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:34: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                          ~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:52: warning: unused parameter 'node' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                                        ~~~~~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_to_array':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:497:39: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   497 | RBTreeValue *rb_tree_to_array(RBTree *tree)
warning: vivo_subject_01@0.1.0:       |                               ~~~~~~~~^~~~
warning: the feature `label_break_value` has been stable since 1.65.0 and no longer requires an attribute to enable
 --> src/lib.rs:8:12
  |
8 | #![feature(label_break_value)]
  |            ^^^^^^^^^^^^^^^^^
  |
  = note: `#[warn(stable_features)]` on by default

warning: the feature `raw_ref_op` has been stable since 1.82.0 and no longer requires an attribute to enable
 --> src/lib.rs:9:12
  |
9 | #![feature(raw_ref_op)]
  |            ^^^^^^^^^^

warning: `vivo_subject_01` (lib) generated 2 warnings
warning: `vivo_subject_01` (lib test) generated 2 warnings (2 duplicates)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 1.27s","compare-int,compare-pointer,compare-string",d906dd1347dacb544f54ccf9bc9a0475ab95dc6d40bbb5208ea76270df2bebaf,0,compare-functions,6,False
0,True,11,"Compiling vivo_subject_01 v0.1.0 (/tmp/evoc2rust-integration-rep0-4mywc57d/project)
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_remove_node':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:34: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                          ~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:52: warning: unused parameter 'node' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                                        ~~~~~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_to_array':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:497:39: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   497 | RBTreeValue *rb_tree_to_array(RBTree *tree)
warning: vivo_subject_01@0.1.0:       |                               ~~~~~~~~^~~~
warning: the feature `label_break_value` has been stable since 1.65.0 and no longer requires an attribute to enable
 --> src/lib.rs:8:12
  |
8 | #![feature(label_break_value)]
  |            ^^^^^^^^^^^^^^^^^
  |
  = note: `#[warn(stable_features)]` on by default

warning: the feature `raw_ref_op` has been stable since 1.82.0 and no longer requires an attribute to enable
 --> src/lib.rs:9:12
  |
9 | #![feature(raw_ref_op)]
  |            ^^^^^^^^^^

warning: `vivo_subject_01` (lib) generated 2 warnings
warning: `vivo_subject_01` (lib test) generated 2 warnings (2 duplicates)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 1.29s","hash-int,hash-pointer,hash-string",530405a77616b167d2d05c34ed7d5064f347ce655e507c9f630705dc23c0ffe9,0,hash-functions,7,False
0,True,12,"Compiling vivo_subject_01 v0.1.0 (/tmp/evoc2rust-integration-rep0-4mywc57d/project)
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_remove_node':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:34: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                          ~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:52: warning: unused parameter 'node' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                                        ~~~~~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_to_array':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:497:39: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   497 | RBTreeValue *rb_tree_to_array(RBTree *tree)
warning: vivo_subject_01@0.1.0:       |                               ~~~~~~~~^~~~
warning: the feature `label_break_value` has been stable since 1.65.0 and no longer requires an attribute to enable
 --> src/lib.rs:8:12
  |
8 | #![feature(label_break_value)]
  |            ^^^^^^^^^^^^^^^^^
  |
  = note: `#[warn(stable_features)]` on by default

warning: the feature `raw_ref_op` has been stable since 1.82.0 and no longer requires an attribute to enable
 --> src/lib.rs:9:12
  |
9 | #![feature(raw_ref_op)]
  |            ^^^^^^^^^^

warning: `vivo_subject_01` (lib) generated 2 warnings
warning: `vivo_subject_01` (lib test) generated 2 warnings (2 duplicates)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 2.01s",hash-table,e8aa2192aecea782bf36054f6885215ecee59c21b932f76934ece866c5c5349b,0,hash-table,8,False
0,True,13,"Compiling vivo_subject_01 v0.1.0 (/tmp/evoc2rust-integration-rep0-4mywc57d/project)
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_remove_node':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:34: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                          ~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:52: warning: unused parameter 'node' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                                        ~~~~~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_to_array':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:497:39: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   497 | RBTreeValue *rb_tree_to_array(RBTree *tree)
warning: vivo_subject_01@0.1.0:       |                               ~~~~~~~~^~~~
warning: the feature `label_break_value` has been stable since 1.65.0 and no longer requires an attribute to enable
 --> src/lib.rs:8:12
  |
8 | #![feature(label_break_value)]
  |            ^^^^^^^^^^^^^^^^^
  |
  = note: `#[warn(stable_features)]` on by default

warning: the feature `raw_ref_op` has been stable since 1.82.0 and no longer requires an attribute to enable
 --> src/lib.rs:9:12
  |
9 | #![feature(raw_ref_op)]
  |            ^^^^^^^^^^

warning: `vivo_subject_01` (lib) generated 2 warnings
warning: `vivo_subject_01` (lib test) generated 2 warnings (2 duplicates)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 1.97s",list,331f7d1ccb152adfa056e358d14d29d18e14310689239b2bec76717cd1ed284e,0,list,9,False
0,True,14,"Compiling vivo_subject_01 v0.1.0 (/tmp/evoc2rust-integration-rep0-4mywc57d/project)
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_remove_node':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:34: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                          ~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:446:52: warning: unused parameter 'node' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   446 | void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
warning: vivo_subject_01@0.1.0:       |                                        ~~~~~~~~~~~~^~~~
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c: In function 'rb_tree_to_array':
warning: vivo_subject_01@0.1.0: fixed/c/rb-tree.c:497:39: warning: unused parameter 'tree' [-Wunused-parameter]
warning: vivo_subject_01@0.1.0:   497 | RBTreeValue *rb_tree_to_array(RBTree *tree)
warning: vivo_subject_01@0.1.0:       |                               ~~~~~~~~^~~~
warning: the feature `label_break_value` has been stable since 1.65.0 and no longer requires an attribute to enable
 --> src/lib.rs:8:12
  |
8 | #![feature(label_break_value)]
  |            ^^^^^^^^^^^^^^^^^
  |
  = note: `#[warn(stable_features)]` on by default

warning: the feature `raw_ref_op` has been stable since 1.82.0 and no longer requires an attribute to enable
 --> src/lib.rs:9:12
  |
9 | #![feature(raw_ref_op)]
  |            ^^^^^^^^^^

warning: `vivo_subject_01` (lib) generated 2 warnings
warning: `vivo_subject_01` (lib test) generated 2 warnings (2 duplicates)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 2.03s",queue,d9c678a5045cd91cc6802ee6068a818cd0efe16c17139b125ba1b2e288d03e80,0,queue,10,False
