repetition,subject_id,subject,modules,module_count,pipeline_status,compilation,compilation_status,tests_passed,tests_expected,safe_rate_percent
0,1,arraylist,arraylist,1,completed,True,measured,9,9,23.754789272030653
0,2,avl-tree,avl-tree,1,completed,True,measured,8,8,23.263027295285358
0,3,binary-heap,binary-heap,1,completed,True,measured,5,5,76.1029411764706
0,4,binomial-heap,binomial-heap,1,completed,True,measured,6,6,24.512820512820515
0,5,bloom-filter,bloom-filter,1,completed,True,measured,6,6,47.37363726461843
0,6,compare-functions,"compare-int,compare-pointer,compare-string",3,completed,True,measured,8,8,62.47334754797441
0,7,hash-functions,"hash-int,hash-pointer,hash-string",3,completed,True,measured,4,4,83.40248962655602
0,8,hash-table,hash-table,1,completed,True,measured,8,8,19.45945945945946
0,9,list,list,1,completed,True,measured,14,14,21.67883211678832
0,10,queue,queue,1,completed,True,measured,8,8,63.065843621399175
0,11,rb-tree,rb-tree,1,completed,True,measured,6,6,16.234390009606148
0,12,set,set,1,completed,True,measured,11,11,20.08830022075055
0,13,slist,slist,1,completed,True,measured,14,14,21.91316146540027
0,14,sortedarray,sortedarray,1,completed,True,measured,7,7,61.785714285714285
0,15,trie,trie,1,completed,True,measured,11,11,16.06108478146393
1,1,arraylist,arraylist,1,completed,True,measured,9,9,25.475285171102662
1,2,avl-tree,avl-tree,1,completed,True,measured,8,8,21.488230827638574
1,3,binary-heap,binary-heap,1,completed,True,measured,5,5,24.482758620689655
1,4,binomial-heap,binomial-heap,1,completed,True,measured,6,6,75.56675062972292
1,5,bloom-filter,bloom-filter,1,completed,True,measured,6,6,68.21130676552363
1,6,compare-functions,"compare-int,compare-pointer,compare-string",3,completed,True,measured,8,8,47.56671899529042
1,7,hash-functions,"hash-int,hash-pointer,hash-string",3,completed,True,measured,4,4,89.51612903225806
1,8,hash-table,hash-table,1,completed,True,measured,8,8,27.407030056036678
1,9,list,list,1,completed,True,measured,14,14,20.438799076212472
1,10,queue,queue,1,completed,True,measured,8,8,21.279554937413074
1,11,rb-tree,rb-tree,1,completed,True,measured,6,6,21.255561047948593
1,12,set,set,1,completed,True,measured,11,11,24.076704545454547
1,13,slist,slist,1,completed,True,measured,14,14,19.1046658259773
1,14,sortedarray,sortedarray,1,completed,True,measured,7,7,33.54609929078014
1,15,trie,trie,1,completed,True,measured,11,11,58.36940836940837
2,1,arraylist,arraylist,1,completed,True,measured,9,9,13.691756272401435
2,2,avl-tree,avl-tree,1,completed,True,measured,8,8,19.663351185921957
2,3,binary-heap,binary-heap,1,completed,True,measured,5,5,16.41025641025641
2,4,binomial-heap,binomial-heap,1,completed,True,measured,6,6,19.241773962804007
2,5,bloom-filter,bloom-filter,1,completed,True,measured,6,6,41.80327868852459
2,6,compare-functions,"compare-int,compare-pointer,compare-string",3,completed,True,measured,8,8,47.674418604651166
2,7,hash-functions,"hash-int,hash-pointer,hash-string",3,completed,True,measured,4,4,82.51121076233184
2,8,hash-table,hash-table,1,completed,True,measured,8,8,72.8793998845932
2,9,list,list,1,completed,True,measured,14,14,15.748031496062993
2,10,queue,queue,1,completed,True,measured,8,8,27.083333333333332
2,11,rb-tree,rb-tree,1,completed,True,measured,6,6,16.01581809194266
2,12,set,set,1,completed,True,measured,11,11,20.026821636119802
2,13,slist,slist,1,completed,True,measured,14,14,14.206896551724139
2,14,sortedarray,sortedarray,1,completed,True,measured,7,7,20.108695652173914
2,15,trie,trie,1,completed,True,measured,11,11,28.66716306775875
