tool,variant,measured_run_count,test_validation_rate,test_validation_rate_status,test_validation_rate_reason,nc_proxy,nc_proxy_status,nc_proxy_reason,tec_proxy,tec_proxy_status,tec_proxy_reason,sec_proxy,sec_proxy_status,sec_proxy_reason,lc_proxy,lc_proxy_status,lc_proxy_reason,average_loop_length_proxy,average_loop_length_proxy_status,average_loop_length_proxy_reason,trajectory_semantics
crust,full,300,0.7084002140181915,measured,,5.8,measured,,24.093333333333334,measured,,774.15,measured,,2.3966666666666665,measured,,15.529565897065899,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
crust,noanalyzer,0,,missing,no row has a measured 'validated_tests_expected' across 0 row(s),,missing,no measured 'nc' values across 0 row(s),,missing,no measured 'tec' values across 0 row(s),,missing,no measured 'total_tool_invocations' values across 0 row(s),,missing,no measured 'lc' values across 0 row(s),,missing,no measured TEC/LC proxy pairs,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
crust,noplanning,0,,missing,no row has a measured 'validated_tests_expected' across 0 row(s),,missing,no measured 'nc' values across 0 row(s),,missing,no measured 'tec' values across 0 row(s),,missing,no measured 'total_tool_invocations' values across 0 row(s),,missing,no measured 'lc' values across 0 row(s),,missing,no measured TEC/LC proxy pairs,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
crust,novalidator,0,,missing,no row has a measured 'validated_tests_expected' across 0 row(s),,missing,no measured 'nc' values across 0 row(s),,missing,no measured 'tec' values across 0 row(s),,missing,no measured 'total_tool_invocations' values across 0 row(s),,missing,no measured 'lc' values across 0 row(s),,missing,no measured TEC/LC proxy pairs,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
crust,baseagent-condensed,0,,missing,no row has a measured 'validated_tests_expected' across 0 row(s),,missing,no measured 'nc' values across 0 row(s),,missing,no measured 'tec' values across 0 row(s),,missing,no measured 'total_tool_invocations' values across 0 row(s),,missing,no measured 'lc' values across 0 row(s),,missing,no measured TEC/LC proxy pairs,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
crust,baseagent-concat,0,,missing,no row has a measured 'validated_tests_expected' across 0 row(s),,missing,no measured 'nc' values across 0 row(s),,missing,no measured 'tec' values across 0 row(s),,missing,no measured 'total_tool_invocations' values across 0 row(s),,missing,no measured 'lc' values across 0 row(s),,missing,no measured TEC/LC proxy pairs,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
oxidizer,full,18,0.14847161572052403,measured,,6.0,measured,,23.77777777777778,measured,,799.5555555555555,measured,,0.1111111111111111,measured,,23.77777777777778,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
oxidizer,noanalyzer,0,,missing,no row has a measured 'validated_tests_expected' across 0 row(s),,missing,no measured 'nc' values across 0 row(s),,missing,no measured 'tec' values across 0 row(s),,missing,no measured 'total_tool_invocations' values across 0 row(s),,missing,no measured 'lc' values across 0 row(s),,missing,no measured TEC/LC proxy pairs,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
oxidizer,noplanning,0,,missing,no row has a measured 'validated_tests_expected' across 0 row(s),,missing,no measured 'nc' values across 0 row(s),,missing,no measured 'tec' values across 0 row(s),,missing,no measured 'total_tool_invocations' values across 0 row(s),,missing,no measured 'lc' values across 0 row(s),,missing,no measured TEC/LC proxy pairs,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
oxidizer,novalidator,0,,missing,no row has a measured 'validated_tests_expected' across 0 row(s),,missing,no measured 'nc' values across 0 row(s),,missing,no measured 'tec' values across 0 row(s),,missing,no measured 'total_tool_invocations' values across 0 row(s),,missing,no measured 'lc' values across 0 row(s),,missing,no measured TEC/LC proxy pairs,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
oxidizer,baseagent-condensed,0,,missing,no row has a measured 'validated_tests_expected' across 0 row(s),,missing,no measured 'nc' values across 0 row(s),,missing,no measured 'tec' values across 0 row(s),,missing,no measured 'total_tool_invocations' values across 0 row(s),,missing,no measured 'lc' values across 0 row(s),,missing,no measured TEC/LC proxy pairs,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
oxidizer,baseagent-concat,0,,missing,no row has a measured 'validated_tests_expected' across 0 row(s),,missing,no measured 'nc' values across 0 row(s),,missing,no measured 'tec' values across 0 row(s),,missing,no measured 'total_tool_invocations' values across 0 row(s),,missing,no measured 'lc' values across 0 row(s),,missing,no measured TEC/LC proxy pairs,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
alphatrans,full,12,0.31893875246965847,measured,,6.0,measured,,42.666666666666664,measured,,2261.0833333333335,measured,,0.5,measured,,37.333333333333336,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
alphatrans,noanalyzer,0,,missing,no row has a measured 'validated_tests_expected' across 0 row(s),,missing,no measured 'nc' values across 0 row(s),,missing,no measured 'tec' values across 0 row(s),,missing,no measured 'total_tool_invocations' values across 0 row(s),,missing,no measured 'lc' values across 0 row(s),,missing,no measured TEC/LC proxy pairs,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
alphatrans,noplanning,0,,missing,no row has a measured 'validated_tests_expected' across 0 row(s),,missing,no measured 'nc' values across 0 row(s),,missing,no measured 'tec' values across 0 row(s),,missing,no measured 'total_tool_invocations' values across 0 row(s),,missing,no measured 'lc' values across 0 row(s),,missing,no measured TEC/LC proxy pairs,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
alphatrans,novalidator,0,,missing,no row has a measured 'validated_tests_expected' across 0 row(s),,missing,no measured 'nc' values across 0 row(s),,missing,no measured 'tec' values across 0 row(s),,missing,no measured 'total_tool_invocations' values across 0 row(s),,missing,no measured 'lc' values across 0 row(s),,missing,no measured TEC/LC proxy pairs,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
alphatrans,baseagent-condensed,0,,missing,no row has a measured 'validated_tests_expected' across 0 row(s),,missing,no measured 'nc' values across 0 row(s),,missing,no measured 'tec' values across 0 row(s),,missing,no measured 'total_tool_invocations' values across 0 row(s),,missing,no measured 'lc' values across 0 row(s),,missing,no measured TEC/LC proxy pairs,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
alphatrans,baseagent-concat,0,,missing,no row has a measured 'validated_tests_expected' across 0 row(s),,missing,no measured 'nc' values across 0 row(s),,missing,no measured 'tec' values across 0 row(s),,missing,no measured 'total_tool_invocations' values across 0 row(s),,missing,no measured 'lc' values across 0 row(s),,missing,no measured TEC/LC proxy pairs,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
skel,full,24,0.5945945945945946,measured,,6.0,measured,,33.833333333333336,measured,,1002.25,measured,,0.125,measured,,33.833333333333336,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
skel,noanalyzer,0,,missing,no row has a measured 'validated_tests_expected' across 0 row(s),,missing,no measured 'nc' values across 0 row(s),,missing,no measured 'tec' values across 0 row(s),,missing,no measured 'total_tool_invocations' values across 0 row(s),,missing,no measured 'lc' values across 0 row(s),,missing,no measured TEC/LC proxy pairs,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
skel,noplanning,0,,missing,no row has a measured 'validated_tests_expected' across 0 row(s),,missing,no measured 'nc' values across 0 row(s),,missing,no measured 'tec' values across 0 row(s),,missing,no measured 'total_tool_invocations' values across 0 row(s),,missing,no measured 'lc' values across 0 row(s),,missing,no measured TEC/LC proxy pairs,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
