table,row_type,dataset_tool,paper_prior_tool,tool_label,project_key,project,source_language,target_language,paper_loc,paper_compilation_success_prior_tool_percent,paper_compilation_success_recodeagent_percent,paper_validated_tests_expected,paper_validated_prior_executed,paper_validated_prior_passed,paper_validated_prior_failed,paper_validated_recodeagent_executed,paper_validated_recodeagent_passed,paper_validated_recodeagent_failed,paper_translated_recodeagent_executed,paper_translated_recodeagent_passed,paper_translated_recodeagent_failed,paper_generated_recodeagent_executed,paper_generated_recodeagent_passed,paper_generated_recodeagent_failed,paper_coverage_before_percent,paper_coverage_after_percent,paper_function_total,paper_function_prior_success,paper_function_recodeagent_success,paper_function_prior_failed,paper_function_recodeagent_failed,codeweaver_variant,codeweaver_repetition,codeweaver_member_project_ids,codeweaver_project_count,codeweaver_project_count_status,codeweaver_loc,codeweaver_loc_status,codeweaver_compilation_success_percent,codeweaver_compilation_success_percent_status,codeweaver_validated_tests_expected,codeweaver_validated_tests_expected_status,codeweaver_validated_tests_executed,codeweaver_validated_tests_executed_status,codeweaver_validated_tests_passed,codeweaver_validated_tests_passed_status,codeweaver_validated_tests_failed,codeweaver_validated_tests_failed_status,codeweaver_translated_tests_executed,codeweaver_translated_tests_executed_status,codeweaver_translated_tests_passed,codeweaver_translated_tests_passed_status,codeweaver_translated_tests_failed,codeweaver_translated_tests_failed_status,codeweaver_function_validation_expected,codeweaver_function_validation_expected_status,codeweaver_function_validation_executed,codeweaver_function_validation_executed_status,codeweaver_function_validation_passed,codeweaver_function_validation_passed_status,codeweaver_function_validation_failed,codeweaver_function_validation_failed_status,codeweaver_generated_tests_expected,codeweaver_generated_tests_expected_status,codeweaver_generated_tests_executed,codeweaver_generated_tests_executed_status,codeweaver_generated_tests_passed,codeweaver_generated_tests_passed_status,codeweaver_generated_tests_failed,codeweaver_generated_tests_failed_status,codeweaver_coverage_before_percent,codeweaver_coverage_before_percent_status,codeweaver_coverage_after_percent,codeweaver_coverage_after_percent_status
Table 1,project,oxidizer,oxidizer,Oxidizer (Go->Rust),checkdigit,checkdigit,go,rust,428,100,100,36,36,33,3,36,36,0,36,36,0,71,71,0,79.74,94.71,29,21,29,8,0,full,0,oxidizer__checkdigit,1,measured,1384,measured,100.0,measured,36,measured,26,measured,26,measured,0,measured,55,measured,55,measured,0,measured,29,measured,12,measured,12,measured,0,measured,19,measured,19,measured,19,measured,0,measured,63.5,measured,92.5,measured
Table 1,project,oxidizer,oxidizer,Oxidizer (Go->Rust),go-edlib,go-edlib,go,rust,639,100,100,36,36,19,17,36,36,0,36,36,0,3,3,0,94.69,94.87,24,18,24,6,0,full,0,oxidizer__go-edlib,1,measured,2177,measured,100.0,measured,36,measured,2,measured,2,measured,0,measured,77,measured,77,measured,0,measured,24,measured,7,measured,7,measured,0,measured,41,measured,35,measured,35,measured,0,measured,7.142857142857143,measured,40.17857142857143,measured
Table 1,project,oxidizer,oxidizer,Oxidizer (Go->Rust),gohistogram,histogram,go,rust,314,100,100,2,2,2,0,2,2,0,2,2,0,66,66,0,37.99,90.5,19,12,19,7,0,full,0,oxidizer__gohistogram,1,measured,15388,measured,100.0,measured,2,measured,3,measured,3,measured,0,measured,20,measured,20,measured,0,measured,19,measured,,unavailable,,unavailable,,unavailable,18,measured,18,measured,18,measured,0,measured,30.603448275862068,measured,96.55172413793103,measured
Table 1,project,oxidizer,oxidizer,Oxidizer (Go->Rust),gonameparts,nameparts,go,rust,413,100,100,26,26,23,3,26,26,0,26,26,0,22,22,0,96.83,96.83,15,9,14,6,1,full,0,oxidizer__gonameparts,1,measured,650,measured,100.0,measured,26,measured,,unavailable,,unavailable,,unavailable,48,measured,48,measured,0,measured,15,measured,,unavailable,,unavailable,,unavailable,22,measured,22,measured,22,measured,0,measured,,unavailable,,unavailable
Table 1,project,oxidizer,oxidizer,Oxidizer (Go->Rust),stats,stats,go,rust,1241,100,100,121,121,71,50,121,121,0,121,121,0,320,320,0,43.28,79.63,52,38,52,14,0,full,0,oxidizer__stats,1,measured,4792,measured,100.0,measured,121,measured,0,measured,0,measured,0,measured,189,measured,189,measured,0,measured,52,measured,1,measured,1,measured,0,measured,67,measured,67,measured,67,measured,0,measured,0.0,measured,81.61073825503355,measured
Table 1,project,oxidizer,oxidizer,Oxidizer (Go->Rust),textrank,textrank,go,rust,1132,100,100,8,8,6,2,8,8,0,8,8,0,127,127,0,72.57,98.69,52,40,52,12,0,full,0,oxidizer__textrank,1,measured,1819,measured,100.0,measured,8,measured,3,measured,3,measured,0,measured,37,measured,37,measured,0,measured,52,measured,,unavailable,,unavailable,,unavailable,28,measured,28,measured,28,measured,0,measured,20.348837209302324,measured,95.05813953488372,measured
Table 1,subtotal,oxidizer,oxidizer,Oxidizer (Go->Rust),Total,Total,go,rust,4167,100.0,100.0,229,229,154,75,229,229,0,229,229,0,609,609,0,70.85,92.53833333333334,191,138,190,53,1,,,,6,measured,26210,measured,100.0,measured,229,measured,34,partial,34,partial,0,partial,426,measured,426,measured,0,measured,191,measured,20,partial,20,partial,0,partial,195,measured,189,measured,189,measured,0,measured,24.319028525604306,partial,81.17983467128394,partial
Table 1,project,alphatrans,alphatrans,AlphaTrans (Java->Python),commons-cli,cli,java,python,37841,100,100,381,66,35,31,381,360,21,381,381,0,257,257,0,96.73,97.31,257,196,241,61,16,full,0,alphatrans__commons-cli,1,measured,9895,measured,100.0,measured,381,measured,381,measured,370,measured,11,measured,,unavailable,,unavailable,,unavailable,257,measured,,unavailable,,unavailable,,unavailable,46,measured,46,measured,46,measured,0,measured,90.71013845466726,measured,94.55113890129522,measured
Table 1,project,alphatrans,alphatrans,AlphaTrans (Java->Python),commons-csv,csv,java,python,33072,100,100,298,147,3,144,298,241,57,298,298,0,192,190,2,84.37,85.75,213,74,211,139,2,full,0,alphatrans__commons-csv,1,measured,11640,measured,100.0,measured,298,measured,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,213,measured,,unavailable,,unavailable,,unavailable,407,measured,398,measured,398,measured,0,measured,38.332368268674,measured,79.61783439490446,measured
Table 1,project,alphatrans,alphatrans,AlphaTrans (Java->Python),commons-fileupload,fileupload,java,python,3567,100,100,39,39,36,3,39,39,0,39,39,0,208,208,0,38.68,71.61,25,19,25,6,0,full,0,alphatrans__commons-fileupload,1,measured,5887,measured,100.0,measured,39,measured,9,measured,9,measured,0,measured,,unavailable,,unavailable,,unavailable,25,measured,,unavailable,,unavailable,,unavailable,45,measured,45,measured,45,measured,0,measured,46.72192916352675,measured,93.66993217784476,measured
Table 1,project,alphatrans,alphatrans,AlphaTrans (Java->Python),commons-validator,validator,java,python,41605,100,100,463,359,114,245,463,438,25,463,435,28,132,131,1,64.98,73.04,409,217,397,192,12,full,0,alphatrans__commons-validator,1,measured,25271,measured,100.0,measured,463,measured,8,measured,0,measured,8,measured,,unavailable,,unavailable,,unavailable,409,measured,,unavailable,,unavailable,,unavailable,105,measured,105,measured,105,measured,0,measured,40.47359401775977,measured,78.36111543854183,measured
Table 1,subtotal,alphatrans,alphatrans,AlphaTrans (Java->Python),Total,Total,java,python,116085,100.0,100.0,1181,611,188,423,1181,1078,103,1181,1153,28,789,786,3,71.19,81.92750000000001,904,506,874,398,30,,,,4,measured,52693,measured,100.0,measured,1181,measured,398,partial,379,partial,19,partial,,unavailable,,unavailable,,unavailable,904,measured,,unavailable,,unavailable,,unavailable,603,measured,594,measured,594,measured,0,measured,54.059507476156945,measured,86.55000522814657,measured
Table 1,project,skel,skel,SKEL (Python->JavaScript),bst,bst,python,javascript,123,100,100,11,11,11,0,11,11,0,11,11,0,6,6,0,89.71,99.03,21,21,21,0,0,full,0,skel__bst,1,measured,675,measured,100.0,measured,11,measured,11,measured,11,measured,0,measured,,unavailable,,unavailable,,unavailable,21,measured,,unavailable,,unavailable,,unavailable,0,measured,0,measured,0,measured,0,measured,54.6,measured,54.6,measured
Table 1,project,skel,skel,SKEL (Python->JavaScript),colorsys,colorsys,python,javascript,120,100,100,2,2,2,0,2,2,0,2,2,0,46,46,0,86.98,91.27,9,9,9,0,0,full,0,skel__colorsys,1,measured,307,measured,100.0,measured,2,measured,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,9,measured,,unavailable,,unavailable,,unavailable,0,measured,0,measured,0,measured,0,measured,,unavailable,,unavailable
Table 1,project,skel,skel,SKEL (Python->JavaScript),heapq,heapq,python,javascript,189,100,100,8,8,7,1,8,8,0,8,8,0,11,11,0,91.64,91.64,24,23,24,1,0,full,0,skel__heapq,1,measured,396,measured,100.0,measured,8,measured,8,measured,8,measured,0,measured,,unavailable,,unavailable,,unavailable,24,measured,,unavailable,,unavailable,,unavailable,6,measured,6,measured,6,measured,0,measured,75.99,measured,95.66,measured
