table,row_type,dataset_tool,tool_label,project_key,project,source_language,target_language,paper_tests,paper_tests_translated,paper_tests_not_translated,paper_assertion_count_matching_tests,paper_assertion_count_nonmatching_tests,paper_assert_equal_output_total,paper_assert_equal_output_matching,paper_assert_equal_type_match_percent,paper_assert_true_type_match_percent,paper_assert_false_type_match_percent,paper_other_type_match_percent,paper_avg_cosine_similarity,paper_avg_source_loc,paper_avg_target_loc,paper_avg_source_method_calls,paper_avg_target_method_calls,codeweaver_variant,codeweaver_repetition,codeweaver_tests,codeweaver_tests_status,codeweaver_tests_translated,codeweaver_tests_translated_status,codeweaver_tests_not_translated,codeweaver_tests_not_translated_status,codeweaver_assertion_count_matching_tests,codeweaver_assertion_count_matching_tests_status,codeweaver_assertion_count_nonmatching_tests,codeweaver_assertion_count_nonmatching_tests_status,codeweaver_assert_equal_output_total,codeweaver_assert_equal_output_total_status,codeweaver_assert_equal_output_matching,codeweaver_assert_equal_output_matching_status,codeweaver_assert_equal_type_match_percent,codeweaver_assert_equal_type_match_percent_status,codeweaver_assert_true_type_match_percent,codeweaver_assert_true_type_match_percent_status,codeweaver_assert_false_type_match_percent,codeweaver_assert_false_type_match_percent_status,codeweaver_other_type_match_percent,codeweaver_other_type_match_percent_status,codeweaver_avg_cosine_similarity,codeweaver_avg_cosine_similarity_status,codeweaver_avg_source_loc,codeweaver_avg_source_loc_status,codeweaver_avg_target_loc,codeweaver_avg_target_loc_status,codeweaver_avg_source_method_calls,codeweaver_avg_source_method_calls_status,codeweaver_avg_target_method_calls,codeweaver_avg_target_method_calls_status
Table 2,project,oxidizer,Oxidizer (Go->Rust),checkdigit,checkdigit,go,rust,36,36,0,36,0,45,45,100,,,,0.94,24.42,24.58,7.14,5.33,full,0,36.0,measured,36.0,measured,0.0,measured,12.0,measured,24.0,measured,0.0,measured,0.0,measured,40.0,measured,,not_applicable,,not_applicable,,not_applicable,0.858492,measured,24.42,measured,8.25,measured,7.14,measured,3.67,measured
Table 2,project,oxidizer,Oxidizer (Go->Rust),go-edlib,go-edlib,go,rust,36,36,0,36,0,45,45,84.44,,,,0.92,30.78,51,7.61,9.5,full,0,36.0,measured,36.0,measured,0.0,measured,19.0,measured,17.0,measured,0.0,measured,0.0,measured,91.11111111111111,measured,,not_applicable,,not_applicable,,not_applicable,0.831114,measured,30.78,measured,16.44,measured,7.61,measured,4.72,measured
Table 2,project,oxidizer,Oxidizer (Go->Rust),gohistogram,histogram,go,rust,2,2,0,2,0,11,11,100,,,,0.96,23.5,16.5,24,16.5,full,0,2.0,measured,2.0,measured,0.0,measured,2.0,measured,0.0,measured,0.0,measured,0.0,measured,100.0,measured,,not_applicable,,not_applicable,,not_applicable,0.854283,measured,23.5,measured,34.0,measured,24.0,measured,17.5,measured
Table 2,project,oxidizer,Oxidizer (Go->Rust),gonameparts,nameparts,go,rust,26,26,0,26,0,51,51,100,,,,0.94,11.96,6.31,6.15,3.81,full,0,26.0,measured,24.0,measured,2.0,measured,14.0,measured,12.0,measured,0.0,measured,0.0,measured,90.19607843137256,measured,,not_applicable,,not_applicable,,not_applicable,0.872382,measured,11.96,measured,5.71,measured,6.12,measured,2.54,measured
Table 2,project,oxidizer,Oxidizer (Go->Rust),stats,stats,go,rust,121,121,0,121,0,150,150,91.15,,,,0.85,16.82,9.44,8.12,6,full,0,121.0,measured,121.0,measured,0.0,measured,58.0,measured,63.0,measured,0.0,measured,0.0,measured,84.95934959349593,measured,,not_applicable,,not_applicable,,not_applicable,0.845927,measured,14.16,measured,11.45,measured,7.62,measured,7.14,measured
Table 2,project,oxidizer,Oxidizer (Go->Rust),textrank,textrank,go,rust,8,8,0,8,0,12,12,100,,,,0.91,13.75,15.25,10.88,11.88,full,0,8.0,measured,8.0,measured,0.0,measured,2.0,measured,6.0,measured,0.0,measured,0.0,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,0.865147,measured,13.75,measured,11.75,measured,10.88,measured,9.25,measured
Table 2,subtotal,oxidizer,Oxidizer (Go->Rust),Total,Total,go,rust,229,229,0,229,0,314,314,95.93166666666667,,,,0.9199999999999999,20.205000000000002,20.513333333333332,10.65,8.836666666666668,,,229,measured,227,measured,2,measured,107,measured,122,measured,0,measured,0,measured,81.25330782719593,measured,,not_applicable,,not_applicable,,not_applicable,0.8545575,measured,19.761666666666667,measured,14.6,measured,10.561666666666667,measured,7.47,measured
Table 2,project,alphatrans,AlphaTrans (Java->Python),commons-cli,cli,java,python,381,381,0,381,0,452,452,99.61,99.68,98.37,97.87,0.9,12.41,11.59,13.3,12.63,full,0,381.0,measured,257.0,measured,124.0,measured,199.0,measured,182.0,measured,196.0,measured,190.0,measured,79.56989247311827,measured,87.77777777777777,measured,79.41176470588235,measured,47.72727272727273,measured,0.749869,measured,13.03,measured,11.97,measured,13.06,measured,9.18,measured
Table 2,project,alphatrans,AlphaTrans (Java->Python),commons-csv,csv,java,python,298,298,0,292,6,207,207,100,81.82,84.31,92.86,0.9007,11.84,8.94,12.2,10.46,full,0,298.0,measured,298.0,measured,0.0,measured,242.0,measured,56.0,measured,149.0,measured,118.0,measured,67.29857819905213,measured,36.734693877551024,measured,18.65284974093264,measured,35.294117647058826,measured,0.749024,measured,11.84,measured,6.61,measured,12.2,measured,5.67,measured
Table 2,project,alphatrans,AlphaTrans (Java->Python),commons-fileupload,fileupload,java,python,39,39,0,39,0,37,37,100,100,80,100,0.8695,6.74,7.38,5.87,6.36,full,0,39.0,measured,39.0,measured,0.0,measured,37.0,measured,2.0,measured,14.0,measured,14.0,measured,78.37837837837837,measured,16.666666666666668,measured,20.0,measured,50.0,measured,0.706495,measured,6.74,measured,5.49,measured,5.87,measured,3.49,measured
Table 2,project,alphatrans,AlphaTrans (Java->Python),commons-validator,validator,java,python,463,463,0,458,5,374,374,98.52,99.28,99.49,90.72,0.8878,17.69,17.23,18.78,18.3,full,0,463.0,measured,296.0,measured,167.0,measured,171.0,measured,292.0,measured,122.0,measured,120.0,measured,66.04477611940298,measured,38.98768809849521,measured,24.142011834319526,measured,13.227513227513228,measured,0.792197,measured,18.7,measured,12.18,measured,21.19,measured,7.48,measured
Table 2,subtotal,alphatrans,AlphaTrans (Java->Python),Total,Total,java,python,1181,1181,0,1170,11,1070,1070,99.5325,95.195,90.5425,95.3625,0.8895,12.17,11.285,12.5375,11.9375,,,1181,measured,890,measured,291,measured,649,measured,532,measured,481,measured,442,measured,72.82290629248794,measured,45.04170660512267,measured,35.551656570283626,measured,36.56222590046119,measured,0.74939625,measured,12.5775,measured,9.0625,measured,13.08,measured,6.455,measured
Table 2,project,skel,SKEL (Python->JavaScript),bst,bst,python,javascript,11,11,0,11,0,74,74,100,,,,0.91,22.27,22.64,5.73,12,full,0,11.0,measured,0.0,measured,11.0,measured,0.0,measured,11.0,measured,0.0,measured,0.0,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable
