failure_status,inferred_failure_status,project_id,reason,repetition,source,system,tool
missing,False,crust__impcheck,released target directory is missing: /opt/recodeagent-results-artifact/results/recodeagent_translations/data/tool_projects/crust/impcheck/rust,0,baseline replay failures,recodeagent,crust
unavailable,False,crust__2dpartint,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__42-kocaeli-printf,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__aes128-simd,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__amp,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__approxidate,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__avalanche,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__bhshell,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__bigint,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__bitset,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__blt,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__bostree,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__btree-map,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__c-aces,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__c-blind-rsa-signatures,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__c-string,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__carrays,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__cfsm,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__chtrie,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__circularbuffer,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__cissy,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__cjson,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__clhash,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
unavailable,False,crust__clog,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,0,baseline replay failures,prior,crust
