accounted_missing,accounting_status,all_expected_cells_accounted_for,conflicting_failure_evidence_rows,error,expected,failure_evidence_rows,measured,missing,repetition,status,system,tool,unaccounted_missing,unavailable
0,measured,True,0,0,100,0,100,0,0,measured,codeweaver,crust,0,0
0,measured,True,0,0,6,0,6,0,0,measured,codeweaver,oxidizer,0,0
0,measured,True,0,0,4,0,4,0,0,measured,codeweaver,alphatrans,0,0
0,measured,True,0,0,8,0,8,0,0,measured,codeweaver,skel,0,0
0,measured,True,0,0,100,0,100,0,1,measured,codeweaver,crust,0,0
0,measured,True,0,0,6,0,6,0,1,measured,codeweaver,oxidizer,0,0
0,measured,True,0,0,4,0,4,0,1,measured,codeweaver,alphatrans,0,0
0,measured,True,0,0,8,0,8,0,1,measured,codeweaver,skel,0,0
0,measured,True,0,0,100,0,100,0,2,measured,codeweaver,crust,0,0
0,measured,True,0,0,6,0,6,0,2,measured,codeweaver,oxidizer,0,0
0,measured,True,0,0,4,0,4,0,2,measured,codeweaver,alphatrans,0,0
0,measured,True,0,0,8,0,8,0,2,measured,codeweaver,skel,0,0
1,measured,True,0,0,100,1,99,1,0,missing,recodeagent,crust,0,0
0,measured,True,0,0,6,0,6,0,0,measured,recodeagent,oxidizer,0,0
0,measured,True,0,0,4,0,4,0,0,measured,recodeagent,alphatrans,0,0
0,measured,True,0,0,8,0,8,0,0,measured,recodeagent,skel,0,0
0,measured,True,0,0,100,100,0,0,0,missing,prior,crust,0,100
0,measured,True,0,0,6,0,6,0,0,measured,prior,oxidizer,0,0
0,measured,True,0,0,4,0,4,0,0,measured,prior,alphatrans,0,0
0,measured,True,0,0,8,0,8,0,0,measured,prior,skel,0,0
