bootstrap,capped_pass_counts,ci_95_t,denominator,excluded_projects,expected_repetitions,input_rows,mean,measured_repetitions,metric,missing_repetitions,n,n_projects,numerator,partial,reason,repetition,sample_sd,status,system,tool,value,variability_status,zero_numerator_substitutions
"{""ci_95"": [1.0, 1.0], ""reason"": """", ""resamples"": 5000, ""seed"": 20260805, ""status"": ""measured""}",0,,100,0,,100,,,compilation_success,,,100,100.0,False,,0,,measured,codeweaver,crust,1.0,,0
"{""ci_95"": [0.46, 0.65], ""reason"": """", ""resamples"": 5000, ""seed"": 20260806, ""status"": ""measured""}",0,,100,0,,100,,,project_pass_all,,,100,56.0,False,,0,,measured,codeweaver,crust,0.56,,0
"{""ci_95"": [0.5977917981072555, 0.8311444652908068], ""reason"": """", ""resamples"": 5000, ""seed"": 20260807, ""status"": ""measured""}",12,,623.0,0,,100,,,validated_test_micro_pass_rate,,,100,447.0,False,,0,,measured,codeweaver,crust,0.7174959871589085,,11
"{""ci_95"": [0.5806666185666186, 0.7573902116402117], ""reason"": """", ""resamples"": 5000, ""seed"": 20260808, ""status"": ""measured""}",0,,100,0,,100,,,validated_test_macro_pass_rate,,,100,66.94060365560365,False,,0,,measured,codeweaver,crust,0.6694060365560365,,0
"{""ci_95"": [1.0, 1.0], ""reason"": """", ""resamples"": 5000, ""seed"": 20260905, ""status"": ""measured""}",0,,100,0,,100,,,compilation_success,,,100,100.0,False,,1,,measured,codeweaver,crust,1.0,,0
"{""ci_95"": [0.45, 0.65], ""reason"": """", ""resamples"": 5000, ""seed"": 20260906, ""status"": ""measured""}",0,,100,0,,100,,,project_pass_all,,,100,55.0,False,,1,,measured,codeweaver,crust,0.55,,0
"{""ci_95"": [0.6080114449213162, 0.8439201451905626], ""reason"": """", ""resamples"": 5000, ""seed"": 20260907, ""status"": ""measured""}",12,,623.0,0,,100,,,validated_test_micro_pass_rate,,,100,454.0,False,,1,,measured,codeweaver,crust,0.7287319422150883,,16
"{""ci_95"": [0.5611415343915344, 0.735201491101491], ""reason"": """", ""resamples"": 5000, ""seed"": 20260908, ""status"": ""measured""}",0,,100,0,,100,,,validated_test_macro_pass_rate,,,100,64.88227032227032,False,,1,,measured,codeweaver,crust,0.6488227032227032,,0
"{""ci_95"": [1.0, 1.0], ""reason"": """", ""resamples"": 5000, ""seed"": 20261005, ""status"": ""measured""}",0,,100,0,,100,,,compilation_success,,,100,100.0,False,,2,,measured,codeweaver,crust,1.0,,0
"{""ci_95"": [0.44, 0.64], ""reason"": """", ""resamples"": 5000, ""seed"": 20261006, ""status"": ""measured""}",0,,100,0,,100,,,project_pass_all,,,100,54.0,False,,2,,measured,codeweaver,crust,0.54,,0
