bootstrap_reason,bootstrap_status,comparison,cw_wins,cw_yes_rca_no_wins,delta_percentage_points,exact_mcnemar_p_value,exact_test,excluded_not_genuinely_measured,manifest_projects,mean_delta,mean_delta_percentage_points,metric,metric_kind,n,numerical_tolerance,paired_bootstrap_ci_percentage_points,raw_intersection_projects,rca_losses,rca_yes_cw_no_losses,reason,status,ties,tool,wilcoxon
,measured,CodeWeaver rep0 vs released ReCodeAgent replay,,37,37.37373737373738,1.4551915228366852e-11,two-sided exact binomial McNemar test,0,100,,,compilation_success,binary,99,,"[28.28282828282828, 47.474747474747474]",99,,0,,measured,62,crust,
,measured,CodeWeaver rep0 vs released ReCodeAgent replay,,27,16.161616161616163,0.013852965261321515,two-sided exact binomial McNemar test,0,100,,,project_pass_all,binary,99,,"[4.040404040404041, 28.28282828282828]",99,,11,,measured,61,crust,
,measured,CodeWeaver rep0 vs released ReCodeAgent replay,11,,,,,0,100,-0.034106480874157644,-3.4106480874157645,validated_test_project_rate,continuous_rate,99,1e-12,"[-12.08449575116242, 5.100475656031212]",99,19,,,measured,69,crust,"{""p_value"": 0.44905370208066275, ""reason"": """", ""statistic"": 196.5, ""status"": ""measured""}"
,measured,CodeWeaver rep0 vs released ReCodeAgent replay,,0,0.0,1.0,two-sided exact binomial McNemar test,0,6,,,compilation_success,binary,6,,"[0.0, 0.0]",6,,0,,measured,6,oxidizer,
,measured,CodeWeaver rep0 vs released ReCodeAgent replay,,0,-33.33333333333333,0.5,two-sided exact binomial McNemar test,0,6,,,project_pass_all,binary,6,,"[-66.66666666666666, 0.0]",6,,2,,measured,4,oxidizer,
,measured,CodeWeaver rep0 vs released ReCodeAgent replay,0,,,,,0,6,-0.40172558922558926,-40.17255892255893,validated_test_project_rate,continuous_rate,6,1e-12,"[-67.36111111111111, -15.404040404040407]",6,5,,,measured,1,oxidizer,"{""p_value"": 0.0625, ""reason"": """", ""statistic"": 0.0, ""status"": ""measured""}"
,measured,CodeWeaver rep0 vs released ReCodeAgent replay,,0,0.0,1.0,two-sided exact binomial McNemar test,0,4,,,compilation_success,binary,4,,"[0.0, 0.0]",4,,0,,measured,4,alphatrans,
,measured,CodeWeaver rep0 vs released ReCodeAgent replay,,0,0.0,1.0,two-sided exact binomial McNemar test,0,4,,,project_pass_all,binary,4,,"[0.0, 0.0]",4,,0,,measured,4,alphatrans,
,measured,CodeWeaver rep0 vs released ReCodeAgent replay,1,,,,,0,4,-0.43698021940837345,-43.69802194083734,validated_test_project_rate,continuous_rate,4,1e-12,"[-88.70837983967994, 1.3123359580052507]",4,2,,,measured,1,alphatrans,"{""p_value"": 0.5, ""reason"": """", ""statistic"": 1.0, ""status"": ""measured""}"
,measured,CodeWeaver rep0 vs released ReCodeAgent replay,,0,0.0,1.0,two-sided exact binomial McNemar test,0,8,,,compilation_success,binary,8,,"[0.0, 0.0]",8,,0,,measured,8,skel,
,measured,CodeWeaver rep0 vs released ReCodeAgent replay,,0,-25.0,0.5,two-sided exact binomial McNemar test,0,8,,,project_pass_all,binary,8,,"[-62.5, 0.0]",8,,2,,measured,6,skel,
,measured,CodeWeaver rep0 vs released ReCodeAgent replay,0,,,,,0,8,-0.3375,-33.75,validated_test_project_rate,continuous_rate,8,1e-12,"[-65.0, -6.25]",8,4,,,measured,4,skel,"{""p_value"": 0.125, ""reason"": """", ""statistic"": 0.0, ""status"": ""measured""}"
,measured,CodeWeaver rep0 vs released ReCodeAgent replay,,37,31.62393162393162,1.4551915228366852e-11,two-sided exact binomial McNemar test,0,118,,,compilation_success,binary,117,,"[23.076923076923077, 40.17094017094017]",117,,0,,measured,80,all,
,measured,CodeWeaver rep0 vs released ReCodeAgent replay,,27,10.256410256410255,0.08842954698775429,two-sided exact binomial McNemar test,0,118,,,project_pass_all,binary,117,,"[-0.8547008547008548, 21.367521367521366]",117,,15,,measured,75,all,
,measured,CodeWeaver rep0 vs released ReCodeAgent replay,12,,,,,0,118,-0.08747705999597125,-8.747705999597125,validated_test_project_rate,continuous_rate,117,1e-12,"[-17.36082127937907, -0.6173494956623177]",117,30,,,measured,75,all,"{""p_value"": 0.04530786488610505, ""reason"": """", ""statistic"": 293.5, ""status"": ""measured""}"
