system,paper_technique,variant,project_id,tool,repetition,workspace_dir,artifact_target_path,expected_artifact_target_path,evaluator_adaptations_json,failure_status,reason,detected_at
prior,swe-agent,full,crust__2dpartint,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.048509Z
prior,swe-agent,full,crust__42-kocaeli-printf,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.049269Z
prior,swe-agent,full,crust__aes128-simd,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.049318Z
prior,swe-agent,full,crust__amp,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.049805Z
prior,swe-agent,full,crust__approxidate,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.049889Z
prior,swe-agent,full,crust__avalanche,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.049926Z
prior,swe-agent,full,crust__bhshell,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.050813Z
prior,swe-agent,full,crust__bigint,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.050856Z
prior,swe-agent,full,crust__bitset,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.050877Z
prior,swe-agent,full,crust__blt,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.051461Z
prior,swe-agent,full,crust__bostree,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.051524Z
prior,swe-agent,full,crust__btree-map,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.052224Z
prior,swe-agent,full,crust__c-aces,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.052278Z
prior,swe-agent,full,crust__c-blind-rsa-signatures,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.053020Z
prior,swe-agent,full,crust__c-string,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.053072Z
prior,swe-agent,full,crust__carrays,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.053757Z
prior,swe-agent,full,crust__cfsm,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.053814Z
prior,swe-agent,full,crust__chtrie,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.053924Z
