tool,variant,measured_run_count,test_validation_rate,test_validation_rate_status,test_validation_rate_reason,nc_proxy,nc_proxy_status,nc_proxy_reason,tec_proxy,tec_proxy_status,tec_proxy_reason,sec_proxy,sec_proxy_status,sec_proxy_reason,lc_proxy,lc_proxy_status,lc_proxy_reason,average_loop_length_proxy,average_loop_length_proxy_status,average_loop_length_proxy_reason,trajectory_semantics
crust,full,100,2.292134831460674,measured,,5.96,measured,,21.38,measured,,750.15,measured,,1.58,measured,,16.547833333333333,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
crust,noanalyzer,100,2.735152487961477,measured,,4.95,measured,,24.77,measured,,738.07,measured,,1.58,measured,,19.022833333333335,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
crust,noplanning,100,3.682182985553772,measured,,4.96,measured,,22.14,measured,,622.77,measured,,1.51,measured,,17.435,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
crust,novalidator,100,2.754414125200642,measured,,5.0,measured,,12.4,measured,,752.27,measured,,0.0,measured,,12.4,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
crust,baseagent-condensed,100,1.0930979133226324,measured,,1.0,measured,,1.0,measured,,77.25,measured,,0.0,measured,,1.0,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
crust,baseagent-concat,100,0.9470304975922953,measured,,1.0,measured,,1.0,measured,,65.81,measured,,0.0,measured,,1.0,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
oxidizer,full,6,0.25327510917030566,measured,,5.833333333333333,measured,,22.166666666666668,measured,,972.5,measured,,1.1666666666666667,measured,,18.13888888888889,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
oxidizer,noanalyzer,6,0.2314410480349345,measured,,5.0,measured,,26.666666666666668,measured,,984.6666666666666,measured,,0.3333333333333333,measured,,26.666666666666668,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
oxidizer,noplanning,6,0.05240174672489083,measured,,5.0,measured,,25.0,measured,,713.8333333333334,measured,,0.3333333333333333,measured,,25.0,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
oxidizer,novalidator,6,0.16593886462882096,measured,,5.0,measured,,13.0,measured,,859.0,measured,,0.0,measured,,13.0,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
oxidizer,baseagent-condensed,6,0.1572052401746725,measured,,1.0,measured,,1.0,measured,,84.0,measured,,0.0,measured,,1.0,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
oxidizer,baseagent-concat,6,0.16593886462882096,measured,,1.0,measured,,1.0,measured,,65.83333333333333,measured,,0.0,measured,,1.0,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
alphatrans,full,4,0.17527519051651144,measured,,6.0,measured,,35.5,measured,,2545.75,measured,,0.25,measured,,35.5,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
alphatrans,noanalyzer,4,0.000846740050804403,measured,,5.0,measured,,38.0,measured,,2068.25,measured,,0.75,measured,,33.875,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
alphatrans,noplanning,4,0.0059271803556308214,measured,,5.0,measured,,37.0,measured,,1751.25,measured,,0.75,measured,,31.875,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
alphatrans,novalidator,4,0.006773920406435224,measured,,5.0,measured,,20.0,measured,,2611.5,measured,,0.0,measured,,20.0,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
alphatrans,baseagent-condensed,4,0.000846740050804403,measured,,1.0,measured,,1.0,measured,,409.5,measured,,0.0,measured,,1.0,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
alphatrans,baseagent-concat,4,0.000846740050804403,measured,,1.0,measured,,1.0,measured,,69.0,measured,,0.0,measured,,1.0,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
skel,full,8,0.24324324324324326,measured,,6.0,measured,,18.75,measured,,912.125,measured,,0.0,measured,,18.75,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
skel,noanalyzer,8,0.16216216216216217,measured,,5.0,measured,,27.0,measured,,1090.125,measured,,0.375,measured,,25.1875,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
skel,noplanning,8,0.43243243243243246,measured,,5.0,measured,,17.75,measured,,423.75,measured,,0.0,measured,,17.75,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
skel,novalidator,8,0.1891891891891892,measured,,5.0,measured,,11.5,measured,,660.0,measured,,0.0,measured,,11.5,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
skel,baseagent-condensed,8,0.33783783783783783,measured,,1.0,measured,,1.0,measured,,232.125,measured,,0.0,measured,,1.0,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
skel,baseagent-concat,8,0.20270270270270271,measured,,1.0,measured,,1.0,measured,,66.25,measured,,0.0,measured,,1.0,measured,,CodeWeaver Burr/Copilot event proxy; not exact Graphectory semantics
