table,row_type,dataset_tool,paper_prior_tool,tool_label,project_key,project,source_language,target_language,paper_loc,paper_compilation_success_prior_tool_percent,paper_compilation_success_recodeagent_percent,paper_validated_tests_expected,paper_validated_prior_executed,paper_validated_prior_passed,paper_validated_prior_failed,paper_validated_recodeagent_executed,paper_validated_recodeagent_passed,paper_validated_recodeagent_failed,paper_translated_recodeagent_executed,paper_translated_recodeagent_passed,paper_translated_recodeagent_failed,paper_generated_recodeagent_executed,paper_generated_recodeagent_passed,paper_generated_recodeagent_failed,paper_coverage_before_percent,paper_coverage_after_percent,paper_function_total,paper_function_prior_success,paper_function_recodeagent_success,paper_function_prior_failed,paper_function_recodeagent_failed,codeweaver_variant,codeweaver_repetition,codeweaver_member_project_ids,codeweaver_project_count,codeweaver_project_count_status,codeweaver_loc,codeweaver_loc_status,codeweaver_compilation_success_percent,codeweaver_compilation_success_percent_status,codeweaver_validated_tests_expected,codeweaver_validated_tests_expected_status,codeweaver_validated_tests_executed,codeweaver_validated_tests_executed_status,codeweaver_validated_tests_passed,codeweaver_validated_tests_passed_status,codeweaver_validated_tests_failed,codeweaver_validated_tests_failed_status,codeweaver_translated_tests_executed,codeweaver_translated_tests_executed_status,codeweaver_translated_tests_passed,codeweaver_translated_tests_passed_status,codeweaver_translated_tests_failed,codeweaver_translated_tests_failed_status,codeweaver_function_validation_expected,codeweaver_function_validation_expected_status,codeweaver_function_validation_executed,codeweaver_function_validation_executed_status,codeweaver_function_validation_passed,codeweaver_function_validation_passed_status,codeweaver_function_validation_failed,codeweaver_function_validation_failed_status,codeweaver_generated_tests_expected,codeweaver_generated_tests_expected_status,codeweaver_generated_tests_executed,codeweaver_generated_tests_executed_status,codeweaver_generated_tests_passed,codeweaver_generated_tests_passed_status,codeweaver_generated_tests_failed,codeweaver_generated_tests_failed_status,codeweaver_coverage_before_percent,codeweaver_coverage_before_percent_status,codeweaver_coverage_after_percent,codeweaver_coverage_after_percent_status
Table 1,project,oxidizer,oxidizer,Oxidizer (Go->Rust),checkdigit,checkdigit,go,rust,428,100,100,36,36,33,3,36,36,0,36,36,0,71,71,0,79.74,94.71,29,21,29,8,0,full,0,oxidizer__checkdigit,1,measured,1384,measured,100.0,measured,36,measured,36,measured,36,measured,0,measured,36,measured,36,measured,0,measured,29,measured,12,measured,12,measured,0,measured,0,measured,0,measured,0,measured,0,measured,92.99363057324841,measured,92.99363057324841,measured
Table 1,project,oxidizer,oxidizer,Oxidizer (Go->Rust),go-edlib,go-edlib,go,rust,639,100,100,36,36,19,17,36,36,0,36,36,0,3,3,0,94.69,94.87,24,18,24,6,0,full,0,oxidizer__go-edlib,1,measured,2177,measured,100.0,measured,36,measured,7,measured,7,measured,0,measured,48,measured,48,measured,0,measured,24,measured,7,measured,7,measured,0,measured,0,measured,0,measured,0,measured,0,measured,75.63025210084034,measured,75.63025210084034,measured
Table 1,project,oxidizer,oxidizer,Oxidizer (Go->Rust),gohistogram,histogram,go,rust,314,100,100,2,2,2,0,2,2,0,2,2,0,66,66,0,37.99,90.5,19,12,19,7,0,full,0,oxidizer__gohistogram,1,measured,15388,measured,100.0,measured,2,measured,3,measured,3,measured,0,measured,4,measured,4,measured,0,measured,19,measured,,unavailable,,unavailable,,unavailable,2,measured,2,measured,2,measured,0,measured,48.57142857142857,measured,48.57142857142857,measured
Table 1,project,oxidizer,oxidizer,Oxidizer (Go->Rust),gonameparts,nameparts,go,rust,413,100,100,26,26,23,3,26,26,0,26,26,0,22,22,0,96.83,96.83,15,9,14,6,1,full,0,oxidizer__gonameparts,1,measured,650,measured,100.0,measured,26,measured,,unavailable,,unavailable,,unavailable,32,measured,32,measured,0,measured,15,measured,,unavailable,,unavailable,,unavailable,5,measured,5,measured,5,measured,0,measured,,unavailable,,unavailable
Table 1,project,oxidizer,oxidizer,Oxidizer (Go->Rust),stats,stats,go,rust,1241,100,100,121,121,71,50,121,121,0,121,121,0,320,320,0,43.28,79.63,52,38,52,14,0,full,0,oxidizer__stats,1,measured,4792,measured,100.0,measured,121,measured,9,measured,9,measured,0,measured,107,measured,107,measured,0,measured,52,measured,,unavailable,,unavailable,,unavailable,0,measured,0,measured,0,measured,0,measured,3.053435114503817,measured,3.053435114503817,measured
Table 1,project,oxidizer,oxidizer,Oxidizer (Go->Rust),textrank,textrank,go,rust,1132,100,100,8,8,6,2,8,8,0,8,8,0,127,127,0,72.57,98.69,52,40,52,12,0,full,0,oxidizer__textrank,1,measured,1819,measured,100.0,measured,8,measured,3,measured,3,measured,0,measured,12,measured,11,measured,1,measured,52,measured,,unavailable,,unavailable,,unavailable,9,measured,9,measured,9,measured,0,measured,36.134453781512605,measured,49.57983193277311,measured
Table 1,subtotal,oxidizer,oxidizer,Oxidizer (Go->Rust),Total,Total,go,rust,4167,100.0,100.0,229,229,154,75,229,229,0,229,229,0,609,609,0,70.85,92.53833333333334,191,138,190,53,1,,,,6,measured,26210,measured,100.0,measured,229,measured,58,partial,58,partial,0,partial,239,measured,238,measured,1,measured,191,measured,19,partial,19,partial,0,partial,16,measured,16,measured,16,measured,0,measured,51.276640028306744,partial,53.96571565855885,partial
Table 1,project,alphatrans,alphatrans,AlphaTrans (Java->Python),commons-cli,cli,java,python,37841,100,100,381,66,35,31,381,360,21,381,381,0,257,257,0,96.73,97.31,257,196,241,61,16,full,0,alphatrans__commons-cli,1,measured,9895,measured,100.0,measured,381,measured,381,measured,201,measured,180,measured,,unavailable,,unavailable,,unavailable,257,measured,,unavailable,,unavailable,,unavailable,18,measured,18,measured,18,measured,0,measured,87.56191524490919,measured,89.87341772151899,measured
Table 1,project,alphatrans,alphatrans,AlphaTrans (Java->Python),commons-csv,csv,java,python,33072,100,100,298,147,3,144,298,241,57,298,298,0,192,190,2,84.37,85.75,213,74,211,139,2,full,0,alphatrans__commons-csv,1,measured,11640,measured,100.0,measured,298,measured,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,213,measured,,unavailable,,unavailable,,unavailable,151,measured,151,measured,151,measured,0,measured,29.888475836431226,measured,57.54646840148699,measured
Table 1,project,alphatrans,alphatrans,AlphaTrans (Java->Python),commons-fileupload,fileupload,java,python,3567,100,100,39,39,36,3,39,39,0,39,39,0,208,208,0,38.68,71.61,25,19,25,6,0,full,0,alphatrans__commons-fileupload,1,measured,5887,measured,100.0,measured,39,measured,9,measured,6,measured,3,measured,,unavailable,,unavailable,,unavailable,25,measured,,unavailable,,unavailable,,unavailable,160,measured,160,measured,160,measured,0,measured,35.307781649245065,measured,79.03600464576074,measured
