table,row_type,dataset_tool,tool_label,project_key,project,source_language,target_language,paper_tests,paper_tests_translated,paper_tests_not_translated,paper_assertion_count_matching_tests,paper_assertion_count_nonmatching_tests,paper_assert_equal_output_total,paper_assert_equal_output_matching,paper_assert_equal_type_match_percent,paper_assert_true_type_match_percent,paper_assert_false_type_match_percent,paper_other_type_match_percent,paper_avg_cosine_similarity,paper_avg_source_loc,paper_avg_target_loc,paper_avg_source_method_calls,paper_avg_target_method_calls,codeweaver_variant,codeweaver_repetition,codeweaver_tests,codeweaver_tests_status,codeweaver_tests_translated,codeweaver_tests_translated_status,codeweaver_tests_not_translated,codeweaver_tests_not_translated_status,codeweaver_assertion_count_matching_tests,codeweaver_assertion_count_matching_tests_status,codeweaver_assertion_count_nonmatching_tests,codeweaver_assertion_count_nonmatching_tests_status,codeweaver_assert_equal_output_total,codeweaver_assert_equal_output_total_status,codeweaver_assert_equal_output_matching,codeweaver_assert_equal_output_matching_status,codeweaver_assert_equal_type_match_percent,codeweaver_assert_equal_type_match_percent_status,codeweaver_assert_true_type_match_percent,codeweaver_assert_true_type_match_percent_status,codeweaver_assert_false_type_match_percent,codeweaver_assert_false_type_match_percent_status,codeweaver_other_type_match_percent,codeweaver_other_type_match_percent_status,codeweaver_avg_cosine_similarity,codeweaver_avg_cosine_similarity_status,codeweaver_avg_source_loc,codeweaver_avg_source_loc_status,codeweaver_avg_target_loc,codeweaver_avg_target_loc_status,codeweaver_avg_source_method_calls,codeweaver_avg_source_method_calls_status,codeweaver_avg_target_method_calls,codeweaver_avg_target_method_calls_status
Table 2,project,oxidizer,Oxidizer (Go->Rust),checkdigit,checkdigit,go,rust,36,36,0,36,0,45,45,100,,,,0.94,24.42,24.58,7.14,5.33,full,0,36.0,measured,24.0,measured,12.0,measured,12.0,measured,24.0,measured,0.0,measured,0.0,measured,100.0,measured,,not_applicable,,not_applicable,,not_applicable,0.850312,measured,29.96,measured,12.83,measured,6.71,measured,8.96,measured
Table 2,project,oxidizer,Oxidizer (Go->Rust),go-edlib,go-edlib,go,rust,36,36,0,36,0,45,45,84.44,,,,0.92,30.78,51,7.61,9.5,full,0,36.0,measured,36.0,measured,0.0,measured,23.0,measured,13.0,measured,0.0,measured,0.0,measured,97.77777777777777,measured,,not_applicable,,not_applicable,,not_applicable,0.863797,measured,30.78,measured,45.25,measured,7.61,measured,16.28,measured
Table 2,project,oxidizer,Oxidizer (Go->Rust),gohistogram,histogram,go,rust,2,2,0,2,0,11,11,100,,,,0.96,23.5,16.5,24,16.5,full,0,2.0,measured,2.0,measured,0.0,measured,2.0,measured,0.0,measured,0.0,measured,0.0,measured,100.0,measured,,not_applicable,,not_applicable,,not_applicable,0.858977,measured,23.5,measured,19.0,measured,24.0,measured,16.5,measured
Table 2,project,oxidizer,Oxidizer (Go->Rust),gonameparts,nameparts,go,rust,26,26,0,26,0,51,51,100,,,,0.94,11.96,6.31,6.15,3.81,full,0,26.0,measured,24.0,measured,2.0,measured,20.0,measured,6.0,measured,0.0,measured,0.0,measured,92.15686274509804,measured,,not_applicable,,not_applicable,,not_applicable,0.881422,measured,11.96,measured,5.58,measured,6.12,measured,2.67,measured
Table 2,project,oxidizer,Oxidizer (Go->Rust),stats,stats,go,rust,121,121,0,121,0,150,150,91.15,,,,0.85,16.82,9.44,8.12,6,full,0,121.0,measured,104.0,measured,17.0,measured,60.0,measured,61.0,measured,0.0,measured,0.0,measured,88.66396761133603,measured,,not_applicable,,not_applicable,,not_applicable,0.851704,measured,15.28,measured,10.97,measured,8.19,measured,8.84,measured
Table 2,project,oxidizer,Oxidizer (Go->Rust),textrank,textrank,go,rust,8,8,0,8,0,12,12,100,,,,0.91,13.75,15.25,10.88,11.88,full,0,8.0,measured,7.0,measured,1.0,measured,1.0,measured,7.0,measured,0.0,measured,0.0,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,0.867567,measured,10.43,measured,9.57,measured,10.43,measured,7.29,measured
Table 2,subtotal,oxidizer,Oxidizer (Go->Rust),Total,Total,go,rust,229,229,0,229,0,314,314,95.93166666666667,,,,0.9199999999999999,20.205000000000002,20.513333333333332,10.65,8.836666666666668,,,229,measured,197,measured,32,measured,118,measured,111,measured,0,measured,0,measured,95.71972162684237,measured,,not_applicable,,not_applicable,,not_applicable,0.8622964999999999,measured,20.31833333333333,measured,17.2,measured,10.51,measured,10.09,measured
Table 2,project,alphatrans,AlphaTrans (Java->Python),commons-cli,cli,java,python,381,381,0,381,0,452,452,99.61,99.68,98.37,97.87,0.9,12.41,11.59,13.3,12.63,full,0,381.0,measured,267.0,measured,114.0,measured,187.0,measured,194.0,measured,220.0,measured,212.0,measured,75.64766839378238,measured,75.14792899408285,measured,32.20338983050848,measured,26.74418604651163,measured,0.674032,measured,12.72,measured,9.91,measured,12.69,measured,8.18,measured
Table 2,project,alphatrans,AlphaTrans (Java->Python),commons-csv,csv,java,python,298,298,0,292,6,207,207,100,81.82,84.31,92.86,0.9007,11.84,8.94,12.2,10.46,full,0,298.0,measured,128.0,measured,170.0,measured,100.0,measured,198.0,measured,99.0,measured,88.0,measured,78.09917355371901,measured,26.923076923076923,measured,7.865168539325842,measured,18.51851851851852,measured,0.694932,measured,13.94,measured,12.03,measured,14.68,measured,8.76,measured
Table 2,project,alphatrans,AlphaTrans (Java->Python),commons-fileupload,fileupload,java,python,39,39,0,39,0,37,37,100,100,80,100,0.8695,6.74,7.38,5.87,6.36,full,0,39.0,measured,39.0,measured,0.0,measured,35.0,measured,4.0,measured,30.0,measured,30.0,measured,83.78378378378379,measured,66.66666666666667,measured,20.0,measured,50.0,measured,0.655651,measured,6.74,measured,7.49,measured,5.87,measured,4.92,measured
