subject_id,subject,variant,repetition,codeweaver_pipeline_status,paper_pointer_arithmetic,codeweaver_pointer_arithmetic,codeweaver_pointer_arithmetic_status,codeweaver_pointer_arithmetic_reason,paper_raw_pointer_declarations,codeweaver_raw_pointer_declarations,codeweaver_raw_pointer_declarations_status,codeweaver_raw_pointer_declarations_reason,paper_raw_pointer_dereferences,codeweaver_raw_pointer_dereferences,codeweaver_raw_pointer_dereferences_status,codeweaver_raw_pointer_dereferences_reason,paper_unsafe_lines,codeweaver_unsafe_lines,codeweaver_unsafe_lines_status,codeweaver_unsafe_lines_reason,paper_unsafe_type_casts,codeweaver_unsafe_type_casts,codeweaver_unsafe_type_casts_status,codeweaver_unsafe_type_casts_reason,paper_unsafe_calls,codeweaver_unsafe_calls,codeweaver_unsafe_calls_status,codeweaver_unsafe_calls_reason
1,qsort,full,0,completed,0,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,0,0,measured,,0,0,measured,,0,0,measured,,0,0,measured,,0,0,measured,
2,bst,full,0,completed,0,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,0,0,measured,,0,0,measured,,0,0,measured,,0,0,measured,,0,0,measured,
3,rgba,full,0,completed,0,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,0,0,measured,,0,0,measured,,0,0,measured,,0,0,measured,,0,0,measured,
4,quadtree,full,0,failed,0,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,4,0,measured,,2,0,measured,,26,0,measured,,0,0,measured,,8,0,measured,
5,buffer,full,0,failed,1,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,0,0,measured,,0,0,measured,,0,0,measured,,0,0,measured,,0,0,measured,
6,grabc,full,0,failed,0,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,15,2,measured,,7,0,measured,,112,4,measured,,15,0,measured,,51,0,measured,
7,urlparser,full,0,completed,0,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,0,0,measured,,0,0,measured,,4,0,measured,,2,0,measured,,3,0,measured,
8,xzoom,full,0,completed,21,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,21,11,measured,,17,0,measured,,453,426,measured,,57,3,measured,,274,88,measured,
9,genann,full,0,failed,0,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,1,0,measured,,4,0,measured,,43,0,measured,,8,0,measured,,21,0,measured,
10,ht,full,0,failed,1,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,1,0,measured,,0,0,measured,,7,0,measured,,0,0,measured,,9,0,measured,
11,robotfindskitten,full,0,failed,0,,unavailable,cargo-newmetrics did not expose a rustc-HIR pointer count,1,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors,0,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors,20,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors,1,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors,8,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors
12,libcsv,full,0,completed,4,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,6,0,measured,,8,0,measured,,113,9,measured,,2,0,measured,,41,7,measured,
13,avl-tree,full,0,completed,0,,unavailable,cargo-newmetrics did not expose a rustc-HIR pointer count,15,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors,12,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors,93,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors,5,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors,45,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors
14,libopenaptx,full,0,completed,7,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,1,0,measured,,0,0,measured,,5,0,measured,,2,0,measured,,2,0,measured,
15,libtree,full,0,failed,22,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,8,0,measured,,4,0,measured,,162,0,measured,,25,0,measured,,131,0,measured,
16,opl,full,0,completed,12,,unavailable,cargo-newmetrics did not expose a rustc-HIR pointer count,0,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors,0,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors,5,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors,0,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors,5,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors
17,libzahl,full,0,failed,12,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,6,85,measured,,1,0,measured,,1731,0,measured,,8,0,measured,,658,0,measured,
18,zopfli,full,0,failed,3,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,1,0,measured,,0,0,measured,,8,0,measured,,1,0,measured,,5,0,measured,
19,snudown,full,0,failed,2,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,8,0,measured,,0,0,measured,,52,0,measured,,17,0,measured,,38,0,measured,
20,lodepng,full,0,failed,90,,unavailable,cargo-newmetrics did not expose a rustc-HIR pointer count,27,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors,17,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors,117,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors,11,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors,39,,error,error: could not compile `zerocopy` (lib) due to 3 previous errors
21,bzip2,full,0,failed,7,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,19,1,measured,,20,3,measured,,114,37,measured,,47,1,measured,,130,30,measured,
22,binn,full,0,failed,56,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,57,0,measured,,20,0,measured,,331,0,measured,,140,0,measured,,335,0,measured,
23,tulpindicator,full,0,failed,15,0,measured,Rustine rustc-HIR cargo-newmetrics library-target measurement,7,0,measured,,14,0,measured,,34,0,measured,,16,0,measured,,22,0,measured,
