project_id,repetition,status,returncode,timed_out,target_function_count,warnings,errors,lint_alerts,lint_alerts_per_function,diagnostic_codes_json
crust__2dpartint,0,measured,0,False,174,21,0,21,0.1206896551724138,"{""clippy::missing_const_for_thread_local"": 1, ""clippy::ptr_arg"": 3, ""clippy::too_many_arguments"": 5, ""dead_code"": 9, ""non_snake_case"": 1, ""unused_imports"": 2}"
crust__2dpartint,1,measured,0,False,198,20,0,20,0.10101010101010101,"{""clippy::assign_op_pattern"": 4, ""clippy::iter_cloned_collect"": 1, ""clippy::manual_repeat_n"": 2, ""clippy::ptr_arg"": 2, ""clippy::too_many_arguments"": 6, ""dead_code"": 2, ""non_snake_case"": 1, ""unused_imports"": 2}"
crust__2dpartint,2,measured,0,False,165,10,0,10,0.06060606060606061,"{""clippy::manual_is_multiple_of"": 1, ""clippy::needless_range_loop"": 1, ""clippy::neg_cmp_op_on_partial_ord"": 1, ""clippy::ptr_arg"": 1, ""clippy::too_many_arguments"": 1, ""dead_code"": 2, ""non_snake_case"": 1, ""unused_imports"": 2}"
crust__42-kocaeli-printf,0,measured,0,False,52,3,0,3,0.057692307692307696,"{""non_snake_case"": 1, ""unused_imports"": 2}"
crust__42-kocaeli-printf,1,measured,0,False,68,3,0,3,0.04411764705882353,"{""non_snake_case"": 1, ""unused_imports"": 2}"
crust__42-kocaeli-printf,2,measured,0,False,55,3,0,3,0.05454545454545454,"{""non_snake_case"": 1, ""unused_imports"": 2}"
crust__aes128-simd,0,measured,0,False,51,5,0,5,0.09803921568627451,"{""non_snake_case"": 1, ""unused_imports"": 4}"
crust__aes128-simd,1,measured,0,False,44,5,0,5,0.11363636363636363,"{""non_snake_case"": 1, ""unused_imports"": 4}"
crust__aes128-simd,2,measured,0,False,66,8,0,8,0.12121212121212122,"{""clippy::manual_is_multiple_of"": 1, ""clippy::needless_range_loop"": 2, ""non_snake_case"": 1, ""unused_imports"": 4}"
crust__amp,0,measured,0,False,32,1,0,1,0.03125,"{""unused_imports"": 1}"
crust__amp,1,measured,0,False,28,1,0,1,0.03571428571428571,"{""unused_imports"": 1}"
crust__amp,2,measured,0,False,38,1,0,1,0.02631578947368421,"{""unused_imports"": 1}"
crust__approxidate,0,measured,0,False,144,7,0,7,0.04861111111111111,"{""clippy::collapsible_if"": 2, ""clippy::wrong_self_convention"": 1, ""dead_code"": 2, ""unused_imports"": 2}"
crust__approxidate,1,measured,0,False,151,2,0,2,0.013245033112582781,"{""unused_imports"": 2}"
crust__approxidate,2,measured,0,False,163,6,0,6,0.03680981595092025,"{""clippy::collapsible_if"": 4, ""unused_imports"": 2}"
crust__avalanche,0,measured,0,False,84,6,0,6,0.07142857142857142,"{""clippy::manual_repeat_n"": 4, ""dead_code"": 2}"
crust__avalanche,1,measured,0,False,60,2,0,2,0.03333333333333333,"{""dead_code"": 2}"
crust__avalanche,2,measured,0,False,63,2,0,2,0.031746031746031744,"{""dead_code"": 2}"
crust__bhshell,0,measured,0,False,307,2,0,2,0.006514657980456026,"{""clippy::derivable_impls"": 2}"
