subject,repetition,production_files,total_nonblank_lines,unsafe_lines,safe_lines,safe_rate_percent,unsafe_free
2dpartint,1,8,3331,0,3331,100.0,True
2dpartint,2,9,3897,0,3897,100.0,True
2dpartint,3,9,3008,0,3008,100.0,True
42-kocaeli-printf,1,2,772,0,772,100.0,True
42-kocaeli-printf,2,2,1086,2,1084,99.8158379373849,False
42-kocaeli-printf,3,2,699,0,699,100.0,True
circularbuffer,1,2,484,0,484,100.0,True
circularbuffer,2,2,611,0,611,100.0,True
circularbuffer,3,2,330,0,330,100.0,True
fasthamming,1,2,400,0,400,100.0,True
fasthamming,2,2,332,0,332,100.0,True
fasthamming,3,2,216,0,216,100.0,True
holdem-odds,1,6,552,0,552,100.0,True
holdem-odds,2,7,858,0,858,100.0,True
holdem-odds,3,6,451,0,451,100.0,True
linear-algebra-c,1,5,1435,0,1435,100.0,True
linear-algebra-c,2,5,2256,0,2256,100.0,True
linear-algebra-c,3,5,2023,0,2023,100.0,True
nandc,1,2,354,0,354,100.0,True
nandc,2,2,437,0,437,100.0,True
nandc,3,2,312,0,312,100.0,True
phills_dht,1,2,393,0,393,100.0,True
phills_dht,2,2,393,0,393,100.0,True
phills_dht,3,2,423,0,423,100.0,True
simple-sparsehash,1,2,1789,0,1789,100.0,True
simple-sparsehash,2,2,1172,0,1172,100.0,True
simple-sparsehash,3,2,923,0,923,100.0,True
simplexml,1,3,691,0,691,100.0,True
simplexml,2,3,907,0,907,100.0,True
simplexml,3,3,684,0,684,100.0,True
aes128-simd,1,8,674,2,672,99.70326409495549,False
aes128-simd,2,8,667,4,663,99.40029985007496,False
aes128-simd,3,8,763,4,759,99.47575360419397,False
amp,1,2,323,0,323,100.0,True
amp,2,2,114,0,114,100.0,True
amp,3,2,374,0,374,100.0,True
approxidate,1,2,3950,5,3945,99.87341772151899,False
approxidate,2,2,4411,0,4411,100.0,True
approxidate,3,2,4016,0,4016,100.0,True
avalanche,1,2,512,0,512,100.0,True
avalanche,2,2,347,0,347,100.0,True
avalanche,3,2,1099,0,1099,100.0,True
bhshell,1,6,5254,17,5237,99.67643700038066,False
bhshell,2,6,4036,34,4002,99.1575817641229,False
bhshell,3,6,3038,39,2999,98.71626069782752,False
bitset,1,2,388,0,388,100.0,True
bitset,2,2,470,0,470,100.0,True
bitset,3,2,582,0,582,100.0,True
bostree,1,2,2205,0,2205,100.0,True
bostree,2,2,1371,0,1371,100.0,True
bostree,3,2,2172,0,2172,100.0,True
btree-map,1,2,883,4,879,99.54699886749717,False
btree-map,2,2,941,0,941,100.0,True
btree-map,3,2,929,28,901,96.98600645855758,False
c-aces,1,8,2272,0,2272,100.0,True
c-aces,2,8,3255,0,3255,100.0,True
c-aces,3,8,2057,0,2057,100.0,True
c-string,1,2,450,0,450,100.0,True
c-string,2,2,191,0,191,100.0,True
c-string,3,2,433,0,433,100.0,True
carrays,1,3,1135,20,1115,98.23788546255507,False
carrays,2,3,1094,32,1062,97.07495429616088,False
carrays,3,3,1110,27,1083,97.56756756756756,False
cfsm,1,2,185,0,185,100.0,True
cfsm,2,2,244,0,244,100.0,True
cfsm,3,2,164,0,164,100.0,True
chtrie,1,2,495,0,495,100.0,True
chtrie,2,2,525,0,525,100.0,True
chtrie,3,2,450,0,450,100.0,True
cissy,1,6,1351,0,1351,100.0,True
cissy,2,6,836,0,836,100.0,True
cissy,3,6,559,0,559,100.0,True
clog,1,2,1053,11,1042,98.95536562203229,False
clog,2,2,1054,11,1043,98.95635673624288,False
clog,3,2,1203,0,1203,100.0,True
cset,1,2,1195,20,1175,98.32635983263599,False
cset,2,2,1498,25,1473,98.33110814419226,False
cset,3,2,1136,25,1111,97.79929577464789,False
csyncmers,1,3,470,0,470,100.0,True
csyncmers,2,3,490,0,490,100.0,True
csyncmers,3,3,502,0,502,100.0,True
dict,1,2,2311,0,2311,100.0,True
dict,2,2,2210,0,2210,100.0,True
dict,3,2,2280,8,2272,99.64912280701755,False
emlang,1,8,1140,0,1140,100.0,True
emlang,2,8,1415,0,1415,100.0,True
emlang,3,8,1042,0,1042,100.0,True
expr,1,2,2248,0,2248,100.0,True
expr,2,2,3097,0,3097,100.0,True
expr,3,2,2981,1,2980,99.96645420999664,False
file2str,1,2,609,0,609,100.0,True
file2str,2,2,222,0,222,100.0,True
file2str,3,2,412,0,412,100.0,True
fs_c,1,2,724,0,724,100.0,True
fs_c,2,2,690,0,690,100.0,True
fs_c,3,2,1347,13,1334,99.03489235337787,False
geofence,1,2,304,0,304,100.0,True
geofence,2,2,314,0,314,100.0,True
geofence,3,2,281,0,281,100.0,True
gfc,1,2,351,0,351,100.0,True
gfc,2,2,412,0,412,100.0,True
gfc,3,2,312,0,312,100.0,True
gorilla-paper-encode,1,2,1465,0,1465,100.0,True
gorilla-paper-encode,2,2,751,0,751,100.0,True
gorilla-paper-encode,3,2,1569,1,1568,99.93626513702995,False
hydra,1,2,1866,12,1854,99.35691318327974,False
hydra,2,2,1994,18,1976,99.09729187562688,False
hydra,3,2,1903,20,1883,98.94902785076195,False
inversion_list,1,2,352,0,352,100.0,True
inversion_list,2,2,448,0,448,100.0,True
inversion_list,3,2,289,0,289,100.0,True
jccc,1,10,3472,0,3472,100.0,True
jccc,2,13,3390,0,3390,100.0,True
jccc,3,12,3248,0,3248,100.0,True
leftpad,1,3,97,0,97,100.0,True
leftpad,2,2,38,0,38,100.0,True
leftpad,3,2,103,0,103,100.0,True
lib2bit,1,2,1205,0,1205,100.0,True
lib2bit,2,2,1727,0,1727,100.0,True
lib2bit,3,2,1448,0,1448,100.0,True
libbase122,1,2,872,0,872,100.0,True
libbase122,2,2,890,0,890,100.0,True
libbase122,3,5,421,0,421,100.0,True
libbeaufort,1,4,868,0,868,100.0,True
libbeaufort,2,4,825,0,825,100.0,True
libbeaufort,3,4,765,0,765,100.0,True
libwecan,1,2,560,0,560,100.0,True
libwecan,2,2,350,0,350,100.0,True
libwecan,3,2,533,0,533,100.0,True
morton,1,2,67,0,67,100.0,True
morton,2,2,136,0,136,100.0,True
morton,3,2,54,0,54,100.0,True
murmurhash_c,1,2,1082,1,1081,99.90757855822551,False
murmurhash_c,2,2,585,0,585,100.0,True
murmurhash_c,3,2,433,0,433,100.0,True
razz_simulation,1,3,689,0,689,100.0,True
razz_simulation,2,3,707,0,707,100.0,True
